block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,20.782778,37409,0.057045,0.060146,0.000000,18432000,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,20.911112,37640,0.056695,0.059777,0.000000,18432000,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,20.561666,37011,0.057659,0.060793,0.000000,18432000,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,20.652222,37174,0.057406,0.060526,0.000000,18432000,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,20.668888,37204,0.057359,0.060477,0.000000,18432000,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,20.865555,37558,0.056819,0.059907,0.000000,18432000,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,21.101110,37982,0.056185,0.059239,0.000000,18432000,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,20.954445,37718,0.056578,0.059653,0.000000,18432000,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,20.609444,37097,0.057525,0.060652,0.000000,18432000,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,20.831112,37496,0.056913,0.060006,0.000000,18432000,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,21.072779,37931,0.056260,0.059318,0.000000,18432000,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,20.674444,37214,0.057344,0.060461,0.000000,18432000,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,13.033334,23460,0.045482,0.047954,0.000000,9216000,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,13.370000,24066,0.044336,0.046746,0.000000,9216000,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,12.966666,23340,0.045716,0.048201,0.000000,9216000,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,13.456111,24221,0.044053,0.046447,0.000000,9216000,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,13.546667,24384,0.043758,0.046137,0.000000,9216000,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,13.412778,24143,0.044195,0.046597,0.000000,9216000,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,13.699445,24659,0.043270,0.045622,0.000000,9216000,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,13.565000,24417,0.043699,0.046074,0.000000,9216000,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
