block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,20.782778,37409,15,512,2949,131,2955,126,2.846300,95.828598,88.501793,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,20.911112,37640,15,512,3080,0,3081,0,2.846300,100.000000,92.344498,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,20.561666,37011,15,512,3080,0,3081,0,2.846300,100.000000,92.344498,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,20.652222,37174,15,512,3080,0,3081,0,2.846300,100.000000,92.344498,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,20.668888,37204,15,512,3052,28,3047,34,2.846300,98.993668,91.417465,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,20.865555,37558,15,512,3081,0,3080,0,2.846300,100.000000,92.344498,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,21.101110,37982,15,512,3081,0,3080,0,2.846300,100.000000,92.344498,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,20.954445,37718,15,512,3044,36,3051,30,2.846300,98.928749,91.357658,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,20.609444,37097,15,512,3081,0,3080,0,2.846300,100.000000,92.344498,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,20.831112,37496,15,512,3081,0,3080,0,2.846300,100.000000,92.344498,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,21.072779,37931,15,512,2959,122,2946,134,2.846300,95.844833,88.516747,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,20.674444,37214,15,512,3081,0,3080,0,2.846300,100.000000,92.344498,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,13.033334,23460,15,256,1512,33,1513,31,5.535055,97.928131,90.476189,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,13.370000,24066,15,256,1482,63,1479,65,5.535055,95.856262,88.571426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,12.966666,23340,15,256,1544,0,1545,0,5.535055,100.000000,92.380951,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,13.456111,24221,15,256,1480,64,1481,64,5.535055,95.856262,88.571426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,13.546667,24384,15,256,1514,30,1511,34,5.535055,97.928131,90.476189,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,13.412778,24143,15,256,1544,0,1545,0,5.535055,100.000000,92.380951,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,13.699445,24659,15,256,1544,0,1545,0,5.535055,100.000000,92.380951,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,13.565000,24417,15,256,1545,0,1544,0,5.535055,100.000000,92.380951,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
