block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,20.782778,37409,17.620886,70.483543,35.580193,11.833297,35,0.036328,50,0.816274,1,0.000053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,775.375000,257.875000,1536.000000,26.698313,7.500000,0.235725,0.000000,0.000000,256.000000,5.463840,N/A,N/A,N/A,N/A,
1,cube0,20.911112,37640,17.512745,70.050980,35.333328,11.760674,35,0.036105,50,0.807705,1,0.000053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,774.750000,257.875000,1536.000000,26.534458,7.500000,0.234278,0.000000,0.000000,256.000000,5.430308,N/A,N/A,N/A,N/A,
2,cube0,20.561666,37011,17.810371,71.241486,35.933819,11.960546,35,0.036719,50,0.808408,1,0.000054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,774.750000,257.875000,1536.000000,26.985415,7.500000,0.238259,0.000000,0.000000,256.000000,5.522596,N/A,N/A,N/A,N/A,
3,cube0,20.652222,37174,17.732277,70.929108,35.782028,11.908102,35,0.036558,50,0.805536,1,0.000054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,774.875000,257.875000,1536.000000,26.867090,7.500000,0.237215,0.000000,0.000000,256.000000,5.498381,N/A,N/A,N/A,N/A,
4,cube0,20.668888,37204,17.717979,70.871918,35.735870,11.898499,35,0.036528,50,0.801930,1,0.000054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,774.500000,257.875000,1536.000000,26.845425,7.500000,0.237023,0.000000,0.000000,256.000000,5.493947,N/A,N/A,N/A,N/A,
5,cube0,20.865555,37558,17.550980,70.203918,35.410473,11.786351,35,0.036184,50,0.786357,1,0.000053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,774.750000,257.875000,1536.000000,26.592392,7.500000,0.234789,0.000000,0.000000,256.000000,5.442164,N/A,N/A,N/A,N/A,
6,cube0,21.101110,37982,17.355055,69.420219,35.020828,11.654778,35,0.035780,50,0.777895,1,0.000053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,774.875000,257.875000,1536.000000,26.295538,7.500000,0.232168,0.000000,0.000000,256.000000,5.381413,N/A,N/A,N/A,N/A,
7,cube0,20.954445,37718,17.476528,69.906113,35.254574,11.736354,35,0.036031,50,0.805000,1,0.000053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,774.625000,257.875000,1536.000000,26.479588,7.500000,0.233793,0.000000,0.000000,256.000000,5.419078,N/A,N/A,N/A,N/A,
8,cube0,20.609444,37097,17.769083,71.076332,35.856300,11.932818,35,0.036634,50,0.797288,1,0.000054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,774.875000,257.875000,1536.000000,26.922855,7.500000,0.237707,0.000000,0.000000,256.000000,5.509793,N/A,N/A,N/A,N/A,
9,cube0,20.831112,37496,17.580000,70.320000,35.469025,11.805840,35,0.036244,50,0.788271,1,0.000053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,774.750000,257.875000,1536.000000,26.636364,7.500000,0.235178,0.000000,0.000000,256.000000,5.451162,N/A,N/A,N/A,N/A,
