block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,20.782778,37409,11.747256,2.936814,46.989025,5.873628,0.000000,11.747256,N/A,N/A,
1,cube0,20.911112,37640,11.675162,2.918791,46.700649,5.837581,0.000000,11.675162,N/A,N/A,
2,cube0,20.561666,37011,11.873582,2.968395,47.494328,5.936791,0.000000,11.873582,N/A,N/A,
3,cube0,20.652222,37174,11.821518,2.955379,47.286072,5.910759,0.000000,11.821518,N/A,N/A,
4,cube0,20.668888,37204,11.811986,2.952996,47.247944,5.905993,0.000000,11.811986,N/A,N/A,
5,cube0,20.865555,37558,11.700653,2.925163,46.802612,5.850327,0.000000,11.700653,N/A,N/A,
6,cube0,21.101110,37982,11.570037,2.892509,46.280148,5.785018,0.000000,11.570037,N/A,N/A,
7,cube0,20.954445,37718,11.651019,2.912755,46.604076,5.825510,0.000000,11.651019,N/A,N/A,
8,cube0,20.609444,37097,11.846056,2.961514,47.384224,5.923028,0.000000,11.846056,N/A,N/A,
9,cube0,20.831112,37496,11.720000,2.930000,46.880001,5.860000,0.000000,11.720000,N/A,N/A,
10,cube0,21.072779,37931,11.585593,2.896398,46.342373,5.792797,0.000000,11.585593,N/A,N/A,
11,cube0,20.674444,37214,11.808812,2.952203,47.235249,5.904406,0.000000,11.808812,N/A,N/A,
12,cube0,13.033334,23460,9.366009,2.341502,37.464035,4.683004,0.000000,9.366009,N/A,N/A,
13,cube0,13.370000,24066,9.130165,2.282541,36.520660,4.565083,0.000000,9.130165,N/A,N/A,
14,cube0,12.966666,23340,9.414163,2.353541,37.656651,4.707081,0.000000,9.414163,N/A,N/A,
15,cube0,13.456111,24221,9.071738,2.267935,36.286953,4.535869,0.000000,9.071738,N/A,N/A,
16,cube0,13.546667,24384,9.011096,2.252774,36.044384,4.505548,0.000000,9.011096,N/A,N/A,
17,cube0,13.412778,24143,9.101047,2.275262,36.404186,4.550523,0.000000,9.101047,N/A,N/A,
18,cube0,13.699445,24659,8.910604,2.227651,35.642414,4.455302,0.000000,8.910604,N/A,N/A,
19,cube0,13.565000,24417,8.998918,2.249729,35.995670,4.499459,0.000000,8.998918,N/A,N/A,
