block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,cube0,20.782778,37409,1.185556,0.057045,2.784444,0.133978,0.755000,0.036328,16.964445,0.816274,0.001111,0.000053,1.746667,0.084044,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,20.911112,37640,1.185556,0.056695,3.012222,0.144049,0.755000,0.036105,16.889999,0.807705,0.001111,0.000053,1.868889,0.089373,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,20.561666,37011,1.185556,0.057659,2.915555,0.141796,0.755000,0.036719,16.622223,0.808408,0.001111,0.000054,1.783333,0.086731,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,20.652222,37174,1.185556,0.057406,2.972222,0.143918,0.755000,0.036558,16.636110,0.805536,0.001111,0.000054,1.820000,0.088126,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,20.668888,37204,1.185556,0.057359,3.078333,0.148936,0.755000,0.036528,16.575001,0.801930,0.001111,0.000054,1.662778,0.080448,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,20.865555,37558,1.185556,0.056819,3.477778,0.166676,0.755000,0.036184,16.407778,0.786357,0.001111,0.000053,1.646667,0.078918,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,21.101110,37982,1.185556,0.056185,3.625000,0.171792,0.755000,0.035780,16.414444,0.777895,0.001111,0.000053,1.851667,0.087752,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,20.954445,37718,1.185556,0.056578,3.075556,0.146773,0.755000,0.036031,16.868334,0.805000,0.001111,0.000053,1.763333,0.084151,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,20.609444,37097,1.185556,0.057525,3.168333,0.153732,0.755000,0.036634,16.431667,0.797288,0.001111,0.000054,1.783333,0.086530,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,20.831112,37496,1.185556,0.056913,3.367778,0.161671,0.755000,0.036244,16.420555,0.788271,0.001111,0.000053,1.635000,0.078488,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,21.072779,37931,1.185556,0.056260,3.867778,0.183544,0.755000,0.035828,16.129999,0.765442,0.001111,0.000053,1.913889,0.090823,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,20.674444,37214,1.185556,0.057344,3.626667,0.175418,0.755000,0.036519,16.027779,0.775246,0.001111,0.000054,1.690000,0.081743,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,13.033334,23460,0.592778,0.045482,3.388333,0.259974,0.378889,0.029071,8.373889,0.642498,0.001111,0.000085,0.800556,0.061424,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,13.370000,24066,0.592778,0.044336,3.635000,0.271877,0.378889,0.028339,8.326667,0.622787,0.001111,0.000083,0.795556,0.059503,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,12.966666,23340,0.592778,0.045716,3.578889,0.276007,0.378889,0.029220,8.100555,0.624722,0.001111,0.000086,0.999444,0.077078,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,13.456111,24221,0.592778,0.044053,3.815556,0.283556,0.378889,0.028157,8.331111,0.619132,0.001111,0.000083,0.991667,0.073696,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,13.546667,24384,0.592778,0.043758,3.936667,0.290600,0.378889,0.027969,8.264444,0.610072,0.001111,0.000082,0.785000,0.057948,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,13.412778,24143,0.592778,0.044195,3.787778,0.282401,0.378889,0.028248,8.291111,0.618150,0.001111,0.000083,0.776111,0.057864,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,13.699445,24659,0.592778,0.043270,4.218333,0.307920,0.378889,0.027657,8.166667,0.596131,0.001111,0.000081,0.842222,0.061479,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,13.565000,24417,0.592778,0.043699,4.095556,0.301921,0.378889,0.027931,8.120556,0.598640,0.001111,0.000082,0.849444,0.062620,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
