block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,30.985001,55773,0.153049,0.161368,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,30.633888,55141,0.154803,0.163218,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,30.610556,55099,0.154921,0.163342,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,30.737223,55327,0.154283,0.162669,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,31.143888,56059,0.152268,0.160545,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,31.442778,56597,0.150821,0.159019,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,31.044445,55880,0.152756,0.161059,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,30.959444,55727,0.153175,0.161502,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,30.818333,55473,0.153877,0.162241,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,30.932222,55678,0.153310,0.161644,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,30.822779,55481,0.153854,0.162218,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,30.838333,55509,0.153777,0.162136,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,16.848333,30327,0.140733,0.148383,0.000000,36864000,4,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,16.632223,29938,0.142561,0.150311,0.000000,36864000,4,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,16.551666,29793,0.143255,0.151042,0.000000,36864000,4,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,16.654444,29978,0.142371,0.150110,0.000000,36864000,4,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,16.625000,29925,0.142623,0.150376,0.000000,36864000,4,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,16.592777,29867,0.142900,0.150668,0.000000,36864000,4,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,16.634445,29942,0.142542,0.150291,0.000000,36864000,4,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,16.699444,30059,0.141987,0.149706,0.000000,36864000,4,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
