block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,30.985001,55773,15,512,11908,388,11916,381,2.846300,96.873093,94.900475,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,30.633888,55141,15,512,12041,255,12040,257,2.846300,97.918106,95.923569,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,30.610556,55099,15,512,12165,131,12172,125,2.846300,98.959053,96.942673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,30.737223,55327,15,512,12297,0,12296,0,2.846300,100.000000,97.961784,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,31.143888,56059,15,512,12296,0,12297,0,2.846300,100.000000,97.961784,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,31.442778,56597,15,512,12170,127,12167,129,2.846300,98.959053,96.942673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,31.044445,55880,15,512,12164,133,12173,123,2.846300,98.959053,96.942673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,30.959444,55727,15,512,12296,0,12297,0,2.846300,100.000000,97.961784,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,30.818333,55473,15,512,12297,0,12296,0,2.846300,100.000000,97.961784,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,30.932222,55678,15,512,12175,121,12162,135,2.846300,98.959053,96.942673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,30.822779,55481,15,512,12296,0,12297,0,2.846300,100.000000,97.961784,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,30.838333,55509,15,512,12171,126,12166,130,2.846300,98.959053,96.942673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,16.848333,30327,15,256,6153,0,6152,0,5.535055,100.000000,97.964378,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,16.632223,29938,15,256,6153,0,6152,0,5.535055,100.000000,97.964378,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,16.551666,29793,15,256,5772,381,5765,387,5.535055,93.758636,91.857506,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,16.654444,29978,15,256,5895,257,5898,255,5.535055,95.839088,93.893127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,16.625000,29925,15,256,6022,131,6027,125,5.535055,97.919548,95.928757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,16.592777,29867,15,256,6152,0,6153,0,5.535055,100.000000,97.964378,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,16.634445,29942,15,256,6153,0,6152,0,5.535055,100.000000,97.964378,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,16.699444,30059,15,256,6152,0,6153,0,5.535055,100.000000,97.964378,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
