block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,30.985001,55773,47.275898,189.103592,94.621056,7.937027,131,0.097198,98,0.707009,1,0.000036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3074.250000,257.875000,6144.000000,71.630150,7.500000,0.158109,0.000000,0.000000,256.000000,3.664798,N/A,N/A,N/A,N/A,
1,cube0,30.633888,55141,47.817753,191.271011,95.705551,8.027997,131,0.098312,98,0.705918,1,0.000036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3074.250000,257.875000,6144.000000,72.451141,7.500000,0.159921,0.000000,0.000000,256.000000,3.706803,N/A,N/A,N/A,N/A,
2,cube0,30.610556,55099,47.854202,191.416809,95.778511,8.034117,131,0.098387,98,0.701701,1,0.000036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3074.250000,257.875000,6144.000000,72.506371,7.500000,0.160043,0.000000,0.000000,256.000000,3.709628,N/A,N/A,N/A,N/A,
3,cube0,30.737223,55327,47.656998,190.627991,95.376045,8.001008,131,0.097981,98,0.696513,1,0.000036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3074.000000,257.875000,6144.000000,72.207573,7.500000,0.159384,0.000000,0.000000,256.000000,3.694341,N/A,N/A,N/A,N/A,
4,cube0,31.143888,56059,47.034710,188.138840,94.138321,7.896533,131,0.096702,98,0.699031,1,0.000036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3074.250000,257.875000,6144.000000,71.264717,7.500000,0.157303,0.000000,0.000000,256.000000,3.646102,N/A,N/A,N/A,N/A,
5,cube0,31.442778,56597,46.587605,186.350418,93.235870,7.821471,131,0.095782,98,0.714808,1,0.000035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3074.000000,257.875000,6144.000000,70.587280,7.500000,0.155807,0.000000,0.000000,256.000000,3.611443,N/A,N/A,N/A,N/A,
6,cube0,31.044445,55880,47.185375,188.741501,94.432182,7.921829,131,0.097011,98,0.709431,1,0.000036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3074.000000,257.875000,6144.000000,71.492996,7.500000,0.157806,0.000000,0.000000,256.000000,3.657781,N/A,N/A,N/A,N/A,
7,cube0,30.959444,55727,47.314922,189.259689,94.699158,7.943578,131,0.097278,98,0.701671,1,0.000036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3074.250000,257.875000,6144.000000,71.689285,7.500000,0.158240,0.000000,0.000000,256.000000,3.667824,N/A,N/A,N/A,N/A,
8,cube0,30.818333,55473,47.531570,190.126282,95.125023,7.979950,131,0.097723,98,0.696681,1,0.000036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3074.000000,257.875000,6144.000000,72.017532,7.500000,0.158964,0.000000,0.000000,256.000000,3.684618,N/A,N/A,N/A,N/A,
9,cube0,30.932222,55678,47.356564,189.426254,94.782501,7.950569,131,0.097363,98,0.696918,1,0.000036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3074.250000,257.875000,6144.000000,71.752365,7.500000,0.158379,0.000000,0.000000,256.000000,3.671052,N/A,N/A,N/A,N/A,
