block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,30.985001,55773,31.517267,7.879317,126.069069,15.758634,23.637949,31.517267,N/A,N/A,
1,cube0,30.633888,55141,31.878502,7.969625,127.514008,15.939251,23.908876,31.878502,N/A,N/A,
2,cube0,30.610556,55099,31.902802,7.975700,127.611206,15.951401,23.927101,31.902802,N/A,N/A,
3,cube0,30.737223,55327,31.771332,7.942833,127.085327,15.885666,23.828499,31.771332,N/A,N/A,
4,cube0,31.143888,56059,31.356472,7.839118,125.425888,15.678236,23.517355,31.356472,N/A,N/A,
5,cube0,31.442778,56597,31.058405,7.764601,124.233620,15.529202,23.293802,31.058405,N/A,N/A,
6,cube0,31.044445,55880,31.456917,7.864229,125.827667,15.728458,23.592688,31.456917,N/A,N/A,
7,cube0,30.959444,55727,31.543282,7.885820,126.173126,15.771641,23.657461,31.543282,N/A,N/A,
8,cube0,30.818333,55473,31.687714,7.921928,126.750854,15.843857,23.765785,31.687714,N/A,N/A,
9,cube0,30.932222,55678,31.571043,7.892761,126.284172,15.785522,23.678282,31.571043,N/A,N/A,
10,cube0,30.822779,55481,31.683144,7.920786,126.732574,15.841572,23.762358,31.683144,N/A,N/A,
11,cube0,30.838333,55509,31.667162,7.916790,126.668648,15.833581,23.750372,31.667162,N/A,N/A,
12,cube0,16.848333,30327,28.980982,7.245245,115.923927,14.490491,21.735737,28.980982,N/A,N/A,
13,cube0,16.632223,29938,29.357548,7.339387,117.430191,14.678774,22.018160,29.357548,N/A,N/A,
14,cube0,16.551666,29793,29.500427,7.375107,118.001709,14.750214,22.125320,29.500427,N/A,N/A,
15,cube0,16.654444,29978,29.318375,7.329594,117.273499,14.659187,21.988781,29.318375,N/A,N/A,
16,cube0,16.625000,29925,29.370300,7.342575,117.481201,14.685150,22.027725,29.370300,N/A,N/A,
17,cube0,16.592777,29867,29.427336,7.356834,117.709343,14.713668,22.070501,29.427336,N/A,N/A,
18,cube0,16.634445,29942,29.353626,7.338407,117.414505,14.676813,22.015219,29.353626,N/A,N/A,
19,cube0,16.699444,30059,29.239370,7.309843,116.957481,14.619685,21.929527,29.239370,N/A,N/A,
