block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,cube0,30.985001,55773,4.742222,0.153049,3.560555,0.114912,3.011667,0.097198,21.906666,0.707009,0.001111,0.000036,1.330000,0.042924,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,30.633888,55141,4.742222,0.154803,3.492222,0.113999,3.011667,0.098312,21.625000,0.705918,0.001111,0.000036,1.332222,0.043489,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,30.610556,55099,4.742222,0.154921,3.656111,0.119440,3.011667,0.098387,21.479445,0.701701,0.001111,0.000036,1.331667,0.043504,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,30.737223,55327,4.742222,0.154283,3.816111,0.124153,3.011667,0.097981,21.408890,0.696513,0.001111,0.000036,1.334444,0.043415,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,31.143888,56059,4.742222,0.152268,3.853889,0.123745,3.011667,0.096702,21.770555,0.699031,0.001111,0.000036,1.342222,0.043097,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,31.442778,56597,4.742222,0.150821,3.446667,0.109617,3.011667,0.095782,22.475555,0.714808,0.001111,0.000035,1.336667,0.042511,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,31.044445,55880,4.742222,0.152756,3.497778,0.112670,3.011667,0.097011,22.023890,0.709431,0.001111,0.000036,1.328889,0.042806,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,30.959444,55727,4.742222,0.153175,3.725556,0.120337,3.011667,0.097278,21.723333,0.701671,0.001111,0.000036,1.336111,0.043157,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,30.818333,55473,4.742222,0.153877,3.808333,0.123574,3.011667,0.097723,21.470556,0.696681,0.001111,0.000036,1.330556,0.043174,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,30.932222,55678,4.742222,0.153310,3.890556,0.125777,3.011667,0.097363,21.557222,0.696918,0.001111,0.000036,1.329444,0.042979,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,30.822779,55481,4.742222,0.153854,4.048889,0.131360,3.011667,0.097709,21.243334,0.689209,0.001111,0.000036,1.338333,0.043420,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,30.838333,55509,4.742222,0.153777,3.310000,0.107334,3.011667,0.097660,22.013889,0.713848,0.001111,0.000036,1.332778,0.043218,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,16.848333,30327,2.371111,0.140733,2.602778,0.154483,1.507222,0.089458,10.836111,0.643156,0.001111,0.000066,0.666667,0.039569,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,16.632223,29938,2.371111,0.142561,2.662222,0.160064,1.507222,0.090621,10.530556,0.633142,0.001111,0.000067,0.662778,0.039849,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,16.551666,29793,2.371111,0.143255,2.126111,0.128453,1.507222,0.091062,10.987778,0.663847,0.001111,0.000067,0.666111,0.040244,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,16.654444,29978,2.371111,0.142371,2.141667,0.128594,1.507222,0.090500,11.073334,0.664888,0.001111,0.000067,0.669444,0.040196,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,16.625000,29925,2.371111,0.142623,2.260556,0.135973,1.507222,0.090660,10.960000,0.659248,0.001111,0.000067,0.667222,0.040134,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,16.592777,29867,2.371111,0.142900,2.196111,0.132353,1.507222,0.090836,10.975555,0.661466,0.001111,0.000067,0.665556,0.040111,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,16.634445,29942,2.371111,0.142542,2.351111,0.141340,1.507222,0.090609,10.873889,0.653697,0.001111,0.000067,0.664444,0.039944,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,16.699444,30059,2.371111,0.141987,2.224444,0.133205,1.507222,0.090256,11.062222,0.662431,0.001111,0.000067,0.666667,0.039921,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
