block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,176.233887,317221,0.053817,0.056743,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,177.758896,319966,0.053356,0.056256,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,175.696106,316253,0.053982,0.056916,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,176.395554,317512,0.053768,0.056691,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,175.242783,315437,0.054122,0.057064,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,176.737228,318127,0.053664,0.056581,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,177.232224,319018,0.053514,0.056423,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,178.307220,320953,0.053192,0.056083,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,178.905548,322030,0.053014,0.055895,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,178.119995,320616,0.053248,0.056142,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,178.753326,321756,0.053059,0.055943,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,177.635559,319744,0.053393,0.056295,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,93.778893,168802,0.050568,0.053317,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,96.492226,173686,0.049146,0.051818,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,93.753891,168757,0.050582,0.053331,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,93.145554,167662,0.050912,0.053679,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,93.941666,169095,0.050480,0.053225,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,94.610558,170299,0.050124,0.052848,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,94.584999,170253,0.050137,0.052863,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,94.062225,169312,0.050416,0.053156,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
