block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,176.233887,317221,108,512,24652,0,24651,0,17.419355,100.000000,98.974419,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,177.758896,319966,108,512,24652,0,24651,0,17.419355,100.000000,98.974419,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,175.696106,316253,108,512,23616,1036,23638,1013,17.419355,95.844063,94.870102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,176.395554,317512,108,512,24620,32,24618,33,17.419355,99.868164,98.844223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,175.242783,315437,108,512,23627,1024,23628,1024,17.419355,95.846092,94.872101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,176.737228,318127,108,512,24142,509,24137,515,17.419355,97.923050,96.923264,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,177.232224,319018,108,512,24651,0,24652,0,17.419355,100.000000,98.974419,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,178.307220,320953,108,512,24651,0,24652,0,17.419355,100.000000,98.974419,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,178.905548,322030,108,512,24651,0,24652,0,17.419355,100.000000,98.974419,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,178.119995,320616,108,512,24203,448,24204,448,17.419355,98.182663,97.179657,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,178.753326,321756,108,512,24588,63,24587,65,17.419355,99.740379,98.718025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,177.635559,319744,108,512,24651,0,24652,0,17.419355,100.000000,98.974419,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,93.778893,168802,108,256,12355,0,12355,0,29.670330,100.000000,98.979019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,96.492226,173686,108,256,12355,0,12355,0,29.670330,100.000000,98.979019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,93.753891,168757,108,256,12355,0,12355,0,29.670330,100.000000,98.979019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,93.145554,167662,108,256,11623,732,11616,739,29.670330,94.046944,93.112389,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,93.941666,169095,108,256,12121,234,12126,229,29.670330,98.126266,97.132484,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,94.610558,170299,108,256,12331,24,12330,25,29.670330,99.801697,98.783600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,94.584999,170253,108,256,12355,0,12355,0,29.670330,100.000000,98.979019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,94.062225,169312,108,256,12355,0,12355,0,29.670330,100.000000,98.979019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
