block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,176.233887,317221,16.623859,66.495438,33.349186,1.458376,259,0.046343,258,0.446354,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6162.750000,269.500000,12288.000000,25.187666,54.000000,0.200148,0.000000,0.000000,256.000000,0.644336,N/A,N/A,N/A,N/A,
1,cube0,177.758896,319966,16.481243,65.924973,33.063080,1.445864,259,0.046092,258,0.443416,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6162.750000,269.500000,12288.000000,24.971581,54.000000,0.198431,0.000000,0.000000,256.000000,0.638808,N/A,N/A,N/A,N/A,
2,cube0,175.696106,316253,16.674744,66.698975,33.451263,1.462840,259,0.046023,258,0.470326,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6162.750000,269.500000,12288.000000,25.264763,54.000000,0.200761,0.000000,0.000000,256.000000,0.646308,N/A,N/A,N/A,N/A,
3,cube0,176.395554,317512,16.608624,66.434494,33.318623,1.457039,259,0.046367,258,0.455709,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6162.750000,269.500000,12288.000000,25.164581,54.000000,0.199965,0.000000,0.000000,256.000000,0.643745,N/A,N/A,N/A,N/A,
4,cube0,175.242783,315437,16.717878,66.871513,33.539158,1.466624,259,0.046405,258,0.459769,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6163.000000,269.500000,12288.000000,25.330118,54.000000,0.201280,0.000000,0.000000,256.000000,0.647980,N/A,N/A,N/A,N/A,
5,cube0,176.737228,318127,16.576517,66.306068,33.255558,1.454222,259,0.046079,258,0.453589,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6163.000000,269.500000,12288.000000,25.115932,54.000000,0.199578,0.000000,0.000000,256.000000,0.642501,N/A,N/A,N/A,N/A,
6,cube0,177.232224,319018,16.530220,66.120880,33.162678,1.450161,259,0.046280,258,0.441386,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6163.000000,269.500000,12288.000000,25.045788,54.000000,0.199021,0.000000,0.000000,256.000000,0.640706,N/A,N/A,N/A,N/A,
7,cube0,178.307220,320953,16.430559,65.722237,32.962742,1.441418,259,0.046131,258,0.434578,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6163.000000,269.500000,12288.000000,24.894787,54.000000,0.197821,0.000000,0.000000,256.000000,0.636843,N/A,N/A,N/A,N/A,
8,cube0,178.905548,322030,16.375610,65.502441,32.852501,1.436597,259,0.046108,258,0.436754,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6163.000000,269.500000,12288.000000,24.811531,54.000000,0.197159,0.000000,0.000000,256.000000,0.634714,N/A,N/A,N/A,N/A,
9,cube0,178.119995,320616,16.447830,65.791321,32.997391,1.442933,259,0.046114,258,0.444161,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6163.000000,269.500000,12288.000000,24.920954,54.000000,0.198029,0.000000,0.000000,256.000000,0.637513,N/A,N/A,N/A,N/A,
10,cube0,178.753326,321756,16.389555,65.558220,32.880478,1.437821,259,0.046212,258,0.433437,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6163.000000,269.500000,12288.000000,24.832659,54.000000,0.197327,0.000000,0.000000,256.000000,0.635254,N/A,N/A,N/A,N/A,
11,cube0,177.635559,319744,16.492687,65.970749,33.087379,1.446868,259,0.046406,258,0.434322,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6163.000000,269.500000,12288.000000,24.988918,54.000000,0.198569,0.000000,0.000000,256.000000,0.639251,N/A,N/A,N/A,N/A,
12,cube0,93.778893,168802,15.620187,62.480747,31.410711,1.438969,131,0.043560,130,0.436257,1,0.000012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3088.750000,141.500000,6144.000000,23.666948,54.000000,0.376128,0.000000,0.000000,128.000000,0.605434,N/A,N/A,N/A,N/A,
