block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,176.233887,317221,11.082573,2.770643,44.330292,5.541286,9.697252,11.082573,N/A,N/A,
1,cube0,177.758896,319966,10.987495,2.746874,43.949982,5.493748,9.614059,10.987495,N/A,N/A,
2,cube0,175.696106,316253,11.116495,2.779124,44.465981,5.558248,9.726933,11.116495,N/A,N/A,
3,cube0,176.395554,317512,11.072416,2.768104,44.289665,5.536208,9.688365,11.072416,N/A,N/A,
4,cube0,175.242783,315437,11.145252,2.786313,44.581009,5.572626,9.752096,11.145252,N/A,N/A,
5,cube0,176.737228,318127,11.051011,2.762753,44.204044,5.525506,9.669635,11.051011,N/A,N/A,
6,cube0,177.232224,319018,11.020146,2.755037,44.080585,5.510073,9.642629,11.020146,N/A,N/A,
7,cube0,178.307220,320953,10.953707,2.738427,43.814827,5.476853,9.584494,10.953707,N/A,N/A,
8,cube0,178.905548,322030,10.917073,2.729268,43.668293,5.458537,9.552440,10.917073,N/A,N/A,
9,cube0,178.119995,320616,10.965220,2.741305,43.860882,5.482610,9.594568,10.965220,N/A,N/A,
10,cube0,178.753326,321756,10.926370,2.731592,43.705479,5.463185,9.560574,10.926370,N/A,N/A,
11,cube0,177.635559,319744,10.995124,2.748781,43.980495,5.497562,9.620734,10.995124,N/A,N/A,
12,cube0,93.778893,168802,10.413458,2.603364,41.653831,5.206729,9.111776,10.413458,N/A,N/A,
13,cube0,96.492226,173686,10.120634,2.530159,40.482536,5.060317,8.855556,10.120634,N/A,N/A,
14,cube0,93.753891,168757,10.416235,2.604059,41.664940,5.208117,9.114205,10.416235,N/A,N/A,
15,cube0,93.145554,167662,10.484263,2.621066,41.937054,5.242132,9.173731,10.484263,N/A,N/A,
16,cube0,93.941666,169095,10.395413,2.598853,41.581654,5.197707,9.095987,10.395413,N/A,N/A,
17,cube0,94.610558,170299,10.321919,2.580480,41.287678,5.160960,9.031679,10.321919,N/A,N/A,
18,cube0,94.584999,170253,10.324708,2.581177,41.298832,5.162354,9.034120,10.324708,N/A,N/A,
19,cube0,94.062225,169312,10.382091,2.595523,41.528362,5.191045,9.084330,10.382091,N/A,N/A,
