block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,176.233887,317221,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,177.758896,319966,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,175.696106,316253,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,176.395554,317512,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,175.242783,315437,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,176.737228,318127,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,177.232224,319018,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,178.307220,320953,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,178.905548,322030,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,178.119995,320616,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,178.753326,321756,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,177.635559,319744,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,93.778893,168802,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,96.492226,173686,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,93.753891,168757,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,93.145554,167662,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,93.941666,169095,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,94.610558,170299,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,94.584999,170253,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,94.062225,169312,N/A,N/A,N/A,N/A,N/A,N/A,
