block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,cube0,176.233887,317221,9.484445,0.053817,174.997772,0.992986,8.167222,0.046343,78.662781,0.446354,0.001111,0.000006,1.574444,0.008934,0.001013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,177.758896,319966,9.484445,0.053356,175.914993,0.989627,8.193334,0.046092,78.821114,0.443416,0.001111,0.000006,1.557222,0.008760,0.001054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,175.696106,316253,9.484445,0.053982,174.529999,0.993363,8.086111,0.046023,82.634445,0.470326,0.001111,0.000006,1.648889,0.009385,0.001013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,176.395554,317512,9.484445,0.053768,175.243332,0.993468,8.178889,0.046367,80.385002,0.455709,0.001111,0.000006,1.613889,0.009149,0.001054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,175.242783,315437,9.484445,0.054122,174.338333,0.994839,8.132222,0.046405,80.571114,0.459769,0.001111,0.000006,1.547222,0.008829,0.001054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,176.737228,318127,9.484445,0.053664,174.904449,0.989630,8.143888,0.046079,80.166115,0.453589,0.001111,0.000006,1.565556,0.008858,0.001075,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,177.232224,319018,9.484445,0.053514,174.662781,0.985502,8.202222,0.046280,78.227776,0.441386,0.001111,0.000006,1.550556,0.008749,0.001013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,178.307220,320953,9.484445,0.053192,175.585556,0.984736,8.225555,0.046131,77.488335,0.434578,0.001111,0.000006,1.518889,0.008518,0.001054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,178.905548,322030,9.484445,0.053014,175.413330,0.980480,8.248889,0.046108,78.137779,0.436754,0.001111,0.000006,1.621667,0.009064,0.001033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,178.119995,320616,9.484445,0.053248,175.495560,0.985266,8.213889,0.046114,79.113892,0.444161,0.001111,0.000006,1.581111,0.008877,0.000992,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,178.753326,321756,9.484445,0.053059,176.189438,0.985657,8.260555,0.046212,77.478333,0.433437,0.001111,0.000006,1.533333,0.008578,0.001013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,177.635559,319744,9.484445,0.053393,174.896118,0.984578,8.243333,0.046406,77.151108,0.434322,0.001111,0.000006,1.540000,0.008669,0.001033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,93.778893,168802,4.742222,0.050568,92.398331,0.985279,4.085000,0.043560,40.911667,0.436257,0.001111,0.000012,0.777778,0.008294,0.001255,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,96.492226,173686,4.742222,0.049146,95.858887,0.993436,4.166667,0.043181,39.746113,0.411910,0.001111,0.000012,0.782222,0.008107,0.001214,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,93.753891,168757,4.742222,0.050582,91.906670,0.980297,4.085000,0.043572,40.756668,0.434720,0.001111,0.000012,0.788889,0.008414,0.001255,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,93.145554,167662,4.742222,0.050912,91.806114,0.985620,4.063334,0.043623,42.156666,0.452589,0.001111,0.000012,0.792222,0.008505,0.001215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,93.941666,169095,4.742222,0.050480,91.848892,0.977723,4.085000,0.043484,40.549999,0.431651,0.001111,0.000012,0.805556,0.008575,0.001214,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,94.610558,170299,4.742222,0.050124,92.795555,0.980816,4.085000,0.043177,41.402222,0.437607,0.001111,0.000012,0.827222,0.008743,0.001295,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,94.584999,170253,4.742222,0.050137,92.201668,0.974802,4.096667,0.043312,40.500000,0.428186,0.001111,0.000012,0.768889,0.008129,0.001255,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,94.062225,169312,4.742222,0.050416,91.731110,0.975217,4.096667,0.043553,40.255001,0.427961,0.001111,0.000012,0.773333,0.008222,0.001296,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
