block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,49.575554,89236,0.191313,0.201712,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,49.597221,89275,0.191229,0.201624,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,49.740555,89533,0.190678,0.201043,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,49.672779,89411,0.190938,0.201318,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,49.264999,88677,0.192519,0.202984,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,49.167221,88501,0.192902,0.203388,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,49.281666,88707,0.192454,0.202915,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,49.279446,88703,0.192462,0.202924,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,49.208889,88576,0.192738,0.203215,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,49.276669,88698,0.192473,0.202936,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,49.246666,88644,0.192591,0.203059,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,48.952221,88114,0.193749,0.204281,0.000000,147456000,16,16,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,26.592222,47866,0.178331,0.188025,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,26.912222,48442,0.176211,0.185789,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,26.503334,47706,0.178929,0.188656,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,26.475000,47655,0.179121,0.188857,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,26.553888,47797,0.178589,0.188296,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,26.879999,48384,0.176422,0.186012,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,26.517221,47731,0.178836,0.188557,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,26.487223,47677,0.179038,0.188770,0.000000,73728000,8,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
