block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,49.575554,89236,14,512,24519,65,24521,63,2.661597,99.739670,98.712120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,49.597221,89275,14,512,24457,127,24455,129,2.661597,99.479340,98.454544,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,49.740555,89533,14,512,24521,63,24518,66,2.661597,99.737633,98.710106,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,49.672779,89411,14,512,24204,380,24196,388,2.661597,98.438011,97.424240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,49.264999,88677,14,512,24394,190,24390,194,2.661597,99.219002,98.196968,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,49.167221,88501,14,512,24519,65,24521,63,2.661597,99.739670,98.712120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,49.281666,88707,14,512,24584,0,24584,0,2.661597,100.000000,98.969696,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,49.279446,88703,14,512,24324,260,24332,252,2.661597,98.958672,97.939392,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,49.208889,88576,14,512,24584,0,24584,0,2.661597,100.000000,98.969696,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,49.276669,88698,14,512,24456,128,24456,128,2.661597,99.479340,98.454544,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,49.246666,88644,14,512,24585,0,24583,0,2.661597,100.000000,98.969696,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,48.952221,88114,14,512,24197,387,24203,381,2.661597,98.438011,97.424240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,26.592222,47866,14,256,11972,324,11973,323,5.185185,97.369064,96.367950,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,26.912222,48442,14,256,12296,0,12296,0,5.185185,100.000000,98.970314,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,26.503334,47706,14,256,11773,523,11788,508,5.185185,95.807579,94.823425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,26.475000,47655,14,256,11780,516,11788,508,5.185185,95.836044,94.851578,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,26.553888,47797,14,256,11965,331,11981,315,5.185185,97.373131,96.371971,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,26.879999,48384,14,256,11726,570,11727,569,5.185185,95.368416,94.389030,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,26.517221,47731,14,256,12232,64,12239,57,5.185185,99.507973,98.483627,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,26.487223,47677,14,256,12165,131,12171,125,5.185185,98.959007,97.940636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
