block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,49.575554,89236,59.095406,236.381622,118.229279,4.958281,259,0.161247,258,0.886570,1,0.000022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6146.000000,257.750000,12288.000000,89.538490,7.000000,0.092231,0.000000,0.000000,256.000000,2.290520,N/A,N/A,N/A,N/A,
1,cube0,49.597221,89275,59.069588,236.278351,118.177628,4.956115,259,0.162565,258,0.885780,1,0.000022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6146.000000,257.750000,12288.000000,89.499382,7.000000,0.092191,0.000000,0.000000,256.000000,2.289519,N/A,N/A,N/A,N/A,
2,cube0,49.740555,89533,58.899372,235.597488,117.837090,4.941833,259,0.162823,258,0.896206,1,0.000022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6146.000000,257.750000,12288.000000,89.241470,7.000000,0.091925,0.000000,0.000000,256.000000,2.282922,N/A,N/A,N/A,N/A,
3,cube0,49.672779,89411,58.979740,235.918961,117.997871,4.948576,259,0.159108,258,0.888548,1,0.000022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6146.000000,257.750000,12288.000000,89.363235,7.000000,0.092051,0.000000,0.000000,256.000000,2.286036,N/A,N/A,N/A,N/A,
4,cube0,49.264999,88677,59.467930,237.871719,118.974571,4.989537,259,0.165533,258,0.888754,1,0.000023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6146.000000,257.750000,12288.000000,90.102921,7.000000,0.092813,0.000000,0.000000,256.000000,2.304959,N/A,N/A,N/A,N/A,
5,cube0,49.167221,88501,59.586189,238.344757,119.211174,4.999460,259,0.169275,258,0.887651,1,0.000023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6146.000000,257.750000,12288.000000,90.282104,7.000000,0.092997,0.000000,0.000000,256.000000,2.309542,N/A,N/A,N/A,N/A,
6,cube0,49.281666,88707,59.447819,237.791275,118.934334,4.987850,259,0.165455,258,0.885308,1,0.000023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6146.000000,257.750000,12288.000000,90.072449,7.000000,0.092781,0.000000,0.000000,256.000000,2.304179,N/A,N/A,N/A,N/A,
7,cube0,49.279446,88703,59.450497,237.801987,118.939697,4.988075,259,0.166567,258,0.880602,1,0.000023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6146.000000,257.750000,12288.000000,90.076515,7.000000,0.092785,0.000000,0.000000,256.000000,2.304283,N/A,N/A,N/A,N/A,
8,cube0,49.208889,88576,59.535736,238.142944,119.110229,4.995226,259,0.170035,258,0.881356,1,0.000023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6146.000000,257.750000,12288.000000,90.205666,7.000000,0.092918,0.000000,0.000000,256.000000,2.307587,N/A,N/A,N/A,N/A,
9,cube0,49.276669,88698,59.453850,237.815399,118.946404,4.988356,259,0.166982,258,0.885702,1,0.000023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6146.000000,257.750000,12288.000000,90.081589,7.000000,0.092791,0.000000,0.000000,256.000000,2.304413,N/A,N/A,N/A,N/A,
