block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,49.575554,89236,39.396935,9.849234,157.587738,19.698467,34.472321,39.396935,N/A,N/A,
1,cube0,49.597221,89275,39.379726,9.844932,157.518906,19.689863,34.457260,39.379726,N/A,N/A,
2,cube0,49.740555,89533,39.266247,9.816562,157.064987,19.633123,34.357967,39.266247,N/A,N/A,
3,cube0,49.672779,89411,39.319828,9.829957,157.279312,19.659914,34.404850,39.319828,N/A,N/A,
4,cube0,49.264999,88677,39.645287,9.911322,158.581146,19.822643,34.689625,39.645287,N/A,N/A,
5,cube0,49.167221,88501,39.724129,9.931032,158.896515,19.862064,34.758614,39.724129,N/A,N/A,
6,cube0,49.281666,88707,39.631878,9.907969,158.527512,19.815939,34.677895,39.631878,N/A,N/A,
7,cube0,49.279446,88703,39.633667,9.908417,158.534668,19.816833,34.679459,39.633667,N/A,N/A,
8,cube0,49.208889,88576,39.690491,9.922623,158.761963,19.845245,34.729183,39.690491,N/A,N/A,
9,cube0,49.276669,88698,39.635899,9.908975,158.543594,19.817949,34.681412,39.635899,N/A,N/A,
10,cube0,49.246666,88644,39.660046,9.915011,158.640182,19.830023,34.702541,39.660046,N/A,N/A,
11,cube0,48.952221,88114,39.898598,9.974649,159.594391,19.949299,34.911274,39.898598,N/A,N/A,
12,cube0,26.592222,47866,36.723614,9.180903,146.894455,18.361807,32.133163,36.723614,N/A,N/A,
13,cube0,26.912222,48442,36.286953,9.071738,145.147812,18.143476,31.751083,36.286953,N/A,N/A,
14,cube0,26.503334,47706,36.846779,9.211695,147.387115,18.423389,32.240932,36.846779,N/A,N/A,
15,cube0,26.475000,47655,36.886215,9.221554,147.544861,18.443108,32.275436,36.886215,N/A,N/A,
16,cube0,26.553888,47797,36.776627,9.194157,147.106506,18.388313,32.179550,36.776627,N/A,N/A,
17,cube0,26.879999,48384,36.330452,9.082613,145.321808,18.165226,31.789145,36.330452,N/A,N/A,
18,cube0,26.517221,47731,36.827480,9.206870,147.309921,18.413740,32.224049,36.827480,N/A,N/A,
19,cube0,26.487223,47677,36.869194,9.217299,147.476776,18.434597,32.260544,36.869194,N/A,N/A,
