block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,cube0,49.575554,89236,9.484445,0.191313,7.803333,0.157403,7.993889,0.161247,43.952221,0.886570,0.001111,0.000022,1.337222,0.026973,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,49.597221,89275,9.484445,0.191229,7.853333,0.158342,8.062778,0.162565,43.932220,0.885780,0.001111,0.000022,1.335556,0.026928,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,49.740555,89533,9.484445,0.190678,7.363889,0.148046,8.098889,0.162823,44.577778,0.896206,0.001111,0.000022,1.335556,0.026850,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,49.672779,89411,9.484445,0.190938,7.722222,0.155462,7.903333,0.159108,44.136665,0.888548,0.001111,0.000022,1.337222,0.026921,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,49.264999,88677,9.484445,0.192519,7.720000,0.156704,8.155000,0.165533,43.784443,0.888754,0.001111,0.000023,1.335556,0.027110,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,49.167221,88501,9.484445,0.192902,7.760000,0.157829,8.322778,0.169275,43.643333,0.887651,0.001111,0.000023,1.332778,0.027107,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,49.281666,88707,9.484445,0.192454,7.868333,0.159660,8.153889,0.165455,43.629444,0.885308,0.001111,0.000023,1.328889,0.026965,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,49.279446,88703,9.484445,0.192462,8.117778,0.164729,8.208333,0.166567,43.395557,0.880602,0.001111,0.000023,1.326111,0.026910,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,49.208889,88576,9.484445,0.192738,8.070556,0.164006,8.367222,0.170035,43.370556,0.881356,0.001111,0.000023,1.341667,0.027265,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,49.276669,88698,9.484445,0.192473,7.863889,0.159586,8.228333,0.166982,43.644444,0.885702,0.001111,0.000023,1.335556,0.027103,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,49.246666,88644,9.484445,0.192591,8.120556,0.164896,8.146667,0.165426,43.330555,0.879868,0.001111,0.000023,1.328889,0.026984,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,48.952221,88114,9.484445,0.193749,8.093333,0.165331,8.200556,0.167522,43.081112,0.880064,0.001111,0.000023,1.327222,0.027113,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,26.592222,47866,4.742222,0.178331,4.120555,0.154953,4.065000,0.152864,22.403889,0.842498,0.001111,0.000042,0.668889,0.025154,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,26.912222,48442,4.742222,0.176211,4.800556,0.178378,4.056111,0.150716,22.058332,0.819640,0.001111,0.000041,0.670000,0.024896,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,26.503334,47706,4.742222,0.178929,4.150556,0.156605,4.066111,0.153419,22.286667,0.840901,0.001111,0.000042,0.662778,0.025007,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,26.475000,47655,4.742222,0.179121,4.229445,0.159752,4.012222,0.151548,22.199444,0.838506,0.001111,0.000042,0.663889,0.025076,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,26.553888,47797,4.742222,0.178589,4.202778,0.158274,4.041111,0.152185,22.295000,0.839613,0.001111,0.000042,0.668889,0.025190,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,26.879999,48384,4.742222,0.176422,4.203889,0.156395,4.010556,0.149202,22.601667,0.840836,0.001111,0.000041,0.671667,0.024988,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,26.517221,47731,4.742222,0.178836,4.231667,0.159582,4.093889,0.154386,22.200001,0.837192,0.001111,0.000042,0.663333,0.025015,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,26.487223,47677,4.742222,0.179038,4.224444,0.159490,4.037778,0.152442,22.210556,0.838539,0.001111,0.000042,0.663889,0.025064,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
