Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,N/A,PROFILING_ENABLE,20,3,0.0,1730118953106123.949	,1730118953106123.949	
3,N/A,KERNEL_AICORE,23,0,89.38,1730118953121697.129	,1730118953121786.509	
3,N/A,KERNEL_AICORE,23,1,21.8,1730118953121786.529	,1730118953121808.329	
3,N/A,KERNEL_AICORE,23,2,21.8,1730118953121808.349	,1730118953121830.149	
3,N/A,KERNEL_AICORE,23,3,21.88,1730118953121830.169	,1730118953121852.049	
3,N/A,KERNEL_AICORE,23,4,21.86,1730118953121852.069	,1730118953121873.929	
3,N/A,EVENT_RECORD,23,5,0.0,1730118953121873.949	,1730118953121873.949	
3,N/A,KERNEL_AICORE,23,6,21.74,1730118953122066.949	,1730118953122088.689	
3,N/A,KERNEL_AICORE,23,7,21.84,1730118953122088.709	,1730118953122110.549	
3,N/A,KERNEL_AICORE,23,8,21.76,1730118953122110.569	,1730118953122132.329	
3,N/A,KERNEL_AICORE,23,9,21.72,1730118953122132.349	,1730118953122154.069	
3,N/A,KERNEL_AICORE,23,10,22.16,1730118953122154.109	,1730118953122176.269	
3,N/A,KERNEL_AICORE,23,11,21.98,1730118953122176.289	,1730118953122198.269	
3,N/A,KERNEL_AICORE,23,12,22.18,1730118953122198.289	,1730118953122220.469	
3,N/A,KERNEL_AICORE,23,13,21.94,1730118953122220.489	,1730118953122242.429	
3,N/A,KERNEL_AICORE,23,14,22.04,1730118953122242.449	,1730118953122264.489	
3,N/A,KERNEL_AICORE,23,15,22.04,1730118953122264.509	,1730118953122286.549	
3,N/A,KERNEL_AICORE,23,16,21.88,1730118953122286.569	,1730118953122308.449	
3,N/A,KERNEL_AICORE,23,17,21.86,1730118953122308.469	,1730118953122330.329	
3,N/A,KERNEL_AICORE,23,18,21.96,1730118953122330.349	,1730118953122352.309	
3,N/A,KERNEL_AICORE,23,19,21.8,1730118953122352.329	,1730118953122374.129	
3,N/A,KERNEL_AICORE,23,20,22.1,1730118953122374.149	,1730118953122396.249	
3,N/A,KERNEL_AICORE,23,21,21.76,1730118953122396.269	,1730118953122418.029	
3,N/A,KERNEL_AICORE,23,22,21.66,1730118953122418.049	,1730118953122439.709	
3,N/A,KERNEL_AICORE,23,23,21.88,1730118953122439.729	,1730118953122461.609	
3,N/A,KERNEL_AICORE,23,24,21.66,1730118953122461.629	,1730118953122483.289	
3,N/A,KERNEL_AICORE,23,25,21.64,1730118953122483.309	,1730118953122504.949	
3,N/A,EVENT_RECORD,23,26,0.02,1730118953122504.969	,1730118953122504.989	
3,N/A,KERNEL_AICORE,23,27,21.88,1730118953122653.909	,1730118953122675.789	
3,N/A,KERNEL_AICORE,23,28,21.78,1730118953122675.809	,1730118953122697.589	
3,N/A,KERNEL_AICORE,23,29,21.82,1730118953122697.629	,1730118953122719.449	
3,N/A,KERNEL_AICORE,23,30,21.74,1730118953122719.489	,1730118953122741.229	
3,N/A,KERNEL_AICORE,23,31,22.02,1730118953122741.269	,1730118953122763.289	
3,N/A,KERNEL_AICORE,23,32,22.04,1730118953122763.309	,1730118953122785.349	
3,N/A,KERNEL_AICORE,23,33,21.84,1730118953122785.369	,1730118953122807.209	
3,N/A,KERNEL_AICORE,23,34,21.84,1730118953122807.229	,1730118953122829.069	
3,N/A,KERNEL_AICORE,23,35,21.88,1730118953122829.109	,1730118953122850.989	
3,N/A,KERNEL_AICORE,23,36,21.7,1730118953122851.009	,1730118953122872.709	
3,N/A,KERNEL_AICORE,23,37,22.04,1730118953122872.729	,1730118953122894.769	
3,N/A,KERNEL_AICORE,23,38,21.94,1730118953122894.789	,1730118953122916.729	
3,N/A,KERNEL_AICORE,23,39,21.88,1730118953122916.749	,1730118953122938.629	
3,N/A,KERNEL_AICORE,23,40,22.1,1730118953122938.669	,1730118953122960.769	
3,N/A,KERNEL_AICORE,23,41,21.96,1730118953122960.789	,1730118953122982.749	
3,N/A,KERNEL_AICORE,23,42,21.96,1730118953122982.769	,1730118953123004.729	
3,N/A,KERNEL_AICORE,23,43,21.94,1730118953123004.749	,1730118953123026.689	
3,N/A,KERNEL_AICORE,23,44,21.86,1730118953123026.709	,1730118953123048.569	
3,N/A,KERNEL_AICORE,23,45,21.84,1730118953123048.589	,1730118953123070.429	
3,N/A,KERNEL_AICORE,23,46,21.84,1730118953123070.449	,1730118953123092.289	
3,N/A,EVENT_RECORD,23,47,0.02,1730118953123092.309	,1730118953123092.329	
3,N/A,KERNEL_AICORE,23,48,21.98,1730118953123666.409	,1730118953123688.389	
3,N/A,KERNEL_AICORE,23,49,21.84,1730118953123688.409	,1730118953123710.249	
3,N/A,KERNEL_AICORE,23,50,21.66,1730118953123710.269	,1730118953123731.929	
3,N/A,KERNEL_AICORE,23,51,21.8,1730118953123731.949	,1730118953123753.749	
3,N/A,KERNEL_AICORE,23,52,22.12,1730118953123753.769	,1730118953123775.889	
3,N/A,KERNEL_AICORE,23,53,21.76,1730118953123775.909	,1730118953123797.669	
3,N/A,KERNEL_AICORE,23,54,22.18,1730118953123797.689	,1730118953123819.869	
3,N/A,KERNEL_AICORE,23,55,21.84,1730118953123819.889	,1730118953123841.729	
3,N/A,KERNEL_AICORE,23,56,21.84,1730118953123841.749	,1730118953123863.589	
3,N/A,KERNEL_AICORE,23,57,22.08,1730118953123863.609	,1730118953123885.689	
3,N/A,KERNEL_AICORE,23,58,21.8,1730118953123885.709	,1730118953123907.509	
3,N/A,KERNEL_AICORE,23,59,21.76,1730118953123907.529	,1730118953123929.289	
3,N/A,KERNEL_AICORE,23,60,22.02,1730118953123929.309	,1730118953123951.329	
3,N/A,KERNEL_AICORE,23,61,22.0,1730118953123951.349	,1730118953123973.349	
3,N/A,KERNEL_AICORE,23,62,22.08,1730118953123973.369	,1730118953123995.449	
3,N/A,KERNEL_AICORE,23,63,21.92,1730118953123995.469	,1730118953124017.389	
3,N/A,KERNEL_AICORE,23,64,21.74,1730118953124017.429	,1730118953124039.169	
3,N/A,KERNEL_AICORE,23,65,21.7,1730118953124039.189	,1730118953124060.889	
3,N/A,KERNEL_AICORE,23,66,21.8,1730118953124060.909	,1730118953124082.709	
3,N/A,KERNEL_AICORE,23,67,21.96,1730118953124082.749	,1730118953124104.709	
3,N/A,EVENT_RECORD,23,68,0.0,1730118953124104.729	,1730118953124104.729	
3,N/A,KERNEL_AICORE,23,69,21.76,1730118953124254.069	,1730118953124275.829	
3,N/A,KERNEL_AICORE,23,70,21.78,1730118953124275.869	,1730118953124297.649	
3,N/A,KERNEL_AICORE,23,71,21.66,1730118953124297.669	,1730118953124319.329	
3,N/A,KERNEL_AICORE,23,72,21.88,1730118953124319.349	,1730118953124341.229	
3,N/A,KERNEL_AICORE,23,73,21.78,1730118953124341.249	,1730118953124363.029	
3,N/A,KERNEL_AICORE,23,74,22.0,1730118953124363.049	,1730118953124385.049	
3,N/A,KERNEL_AICORE,23,75,21.94,1730118953124385.069	,1730118953124407.009	
3,N/A,KERNEL_AICORE,23,76,21.94,1730118953124407.029	,1730118953124428.969	
3,N/A,KERNEL_AICORE,23,77,21.98,1730118953124428.989	,1730118953124450.969	
3,N/A,KERNEL_AICORE,23,78,21.76,1730118953124450.989	,1730118953124472.749	
3,N/A,KERNEL_AICORE,23,79,21.84,1730118953124472.769	,1730118953124494.609	
3,N/A,KERNEL_AICORE,23,80,21.84,1730118953124494.629	,1730118953124516.469	
3,N/A,KERNEL_AICORE,23,81,21.92,1730118953124516.489	,1730118953124538.409	
3,N/A,KERNEL_AICORE,23,82,22.0,1730118953124538.429	,1730118953124560.429	
3,N/A,KERNEL_AICORE,23,83,21.92,1730118953124560.449	,1730118953124582.369	
3,N/A,KERNEL_AICORE,23,84,21.96,1730118953124582.389	,1730118953124604.349	
3,N/A,KERNEL_AICORE,23,85,21.9,1730118953124604.369	,1730118953124626.269	
3,N/A,KERNEL_AICORE,23,86,21.7,1730118953124626.309	,1730118953124648.009	
3,N/A,KERNEL_AICORE,23,87,21.64,1730118953124648.029	,1730118953124669.669	
3,N/A,KERNEL_AICORE,23,88,21.82,1730118953124669.709	,1730118953124691.529	
3,N/A,EVENT_RECORD,23,89,0.02,1730118953124691.549	,1730118953124691.569	
3,N/A,KERNEL_AICORE,23,90,21.9,1730118953125334.469	,1730118953125356.369	
3,N/A,KERNEL_AICORE,23,91,21.78,1730118953125356.409	,1730118953125378.189	
3,N/A,KERNEL_AICORE,23,92,22.0,1730118953125378.209	,1730118953125400.209	
3,N/A,KERNEL_AICORE,23,93,21.62,1730118953125400.229	,1730118953125421.849	
3,N/A,KERNEL_AICORE,23,94,21.8,1730118953125421.869	,1730118953125443.669	
3,N/A,KERNEL_AICORE,23,95,22.04,1730118953125443.689	,1730118953125465.729	
3,N/A,KERNEL_AICORE,23,96,21.74,1730118953125465.749	,1730118953125487.489	
3,N/A,KERNEL_AICORE,23,97,21.98,1730118953125487.509	,1730118953125509.489	
