Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
3,acl,aclMallocMemInner,135.71,3,45.237,42.14,50.7,15.013
3,acl,aclrtCreateContext,1364.36,1,1364.36,1364.36,1364.36,0.0
3,acl,aclrtCreateStream,300.57,1,300.57,300.57,300.57,0.0
3,acl,aclrtDestroyContext,934.95,1,934.95,934.95,934.95,0.0
3,acl,aclrtDestroyStream,818.43,1,818.43,818.43,818.43,0.0
3,acl,aclrtFree,53.2,1,53.2,53.2,53.2,0.0
3,acl,aclrtFreeHost,30.54,1,30.54,30.54,30.54,0.0
3,acl,aclrtMalloc,137.55,3,45.85,42.81,51.27,14.761
3,acl,aclrtMallocHost,345.55,3,115.183,34.66,193.68,4216.614
3,acl,aclrtMemcpy,541.87,3,180.623,98.81,324.08,10357.712
3,acl,aclrtResetDevice,3188762.8,1,3188762.8,3188762.8,3188762.8,0.0
3,acl,aclrtSynchronizeStream,5356.46,6,892.743,339.61,1041.31,61545.175
