Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
3,-1,5,24,N/A,N/A,N/A,UNKNOWN,1730015798787479.499	,-0.001,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,-1,3,24,N/A,N/A,N/A,PLACE_HOLDER_SQE,1730119128795220.518	,0.0,103330007741.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,-1,0,27,N/A,N/A,N/A,AI_CORE,1730119128812609.078	,58.48,17388.56,N/A,0.0,1719890,0.0,0.081,0.0,0.157,0.0,0.05,0.0,0.668,0.0,0.034,0.032,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.694
3,-1,1,27,N/A,N/A,N/A,AI_CORE,1730119128812667.598	,50.28,0.04,N/A,0.0,1418649,0.0,0.098,0.0,0.108,0.0,0.061,0.0,0.77,0.0,0.033,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.375
3,-1,2,27,N/A,N/A,N/A,AI_CORE,1730119128812717.898	,49.62,0.02,N/A,0.0,1410860,0.0,0.099,0.0,0.107,0.0,0.061,0.0,0.77,0.0,0.033,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.981
3,-1,3,27,N/A,N/A,N/A,AI_CORE,1730119128812767.538	,49.64,0.02,N/A,0.0,1412033,0.0,0.099,0.0,0.107,0.0,0.061,0.0,0.77,0.0,0.033,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.015
3,-1,4,27,N/A,N/A,N/A,AI_CORE,1730119128812817.198	,49.68,0.02,N/A,0.0,1402714,0.0,0.099,0.0,0.105,0.0,0.062,0.0,0.771,0.0,0.033,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.431
3,-1,5,27,N/A,N/A,N/A,PLACE_HOLDER_SQE,1730119128812866.918	,0.0,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,-1,6,27,N/A,N/A,N/A,AI_CORE,1730119128812970.698	,49.74,103.78,N/A,0.0,1406471,0.0,0.099,0.0,0.107,0.0,0.062,0.0,0.77,0.0,0.033,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.546
3,-1,7,27,N/A,N/A,N/A,AI_CORE,1730119128813020.458	,49.92,0.02,N/A,0.0,1411598,0.0,0.099,0.0,0.109,0.0,0.061,0.0,0.768,0.0,0.033,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.548
