Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,N/A,PROFILING_ENABLE,24,3,0.0,1730119128795220.518	,1730119128795220.518	
3,N/A,KERNEL_AICORE,27,0,58.48,1730119128812609.078	,1730119128812667.558	
3,N/A,KERNEL_AICORE,27,1,50.28,1730119128812667.598	,1730119128812717.878	
3,N/A,KERNEL_AICORE,27,2,49.62,1730119128812717.898	,1730119128812767.518	
3,N/A,KERNEL_AICORE,27,3,49.64,1730119128812767.538	,1730119128812817.178	
3,N/A,KERNEL_AICORE,27,4,49.68,1730119128812817.198	,1730119128812866.878	
3,N/A,EVENT_RECORD,27,5,0.0,1730119128812866.918	,1730119128812866.918	
3,N/A,KERNEL_AICORE,27,6,49.74,1730119128812970.698	,1730119128813020.438	
3,N/A,KERNEL_AICORE,27,7,49.92,1730119128813020.458	,1730119128813070.378	
3,N/A,KERNEL_AICORE,27,8,49.58,1730119128813070.398	,1730119128813119.978	
3,N/A,KERNEL_AICORE,27,9,49.62,1730119128813119.998	,1730119128813169.618	
3,N/A,KERNEL_AICORE,27,10,49.56,1730119128813169.638	,1730119128813219.198	
3,N/A,KERNEL_AICORE,27,11,49.6,1730119128813219.218	,1730119128813268.818	
3,N/A,KERNEL_AICORE,27,12,49.9,1730119128813268.838	,1730119128813318.738	
3,N/A,KERNEL_AICORE,27,13,50.06,1730119128813318.758	,1730119128813368.818	
3,N/A,KERNEL_AICORE,27,14,49.68,1730119128813368.838	,1730119128813418.518	
3,N/A,KERNEL_AICORE,27,15,50.56,1730119128813418.538	,1730119128813469.098	
3,N/A,KERNEL_AICORE,27,16,49.8,1730119128813469.118	,1730119128813518.918	
3,N/A,KERNEL_AICORE,27,17,49.82,1730119128813518.938	,1730119128813568.758	
3,N/A,KERNEL_AICORE,27,18,49.9,1730119128813568.778	,1730119128813618.678	
3,N/A,KERNEL_AICORE,27,19,49.64,1730119128813618.698	,1730119128813668.338	
3,N/A,KERNEL_AICORE,27,20,49.62,1730119128813668.358	,1730119128813717.978	
3,N/A,KERNEL_AICORE,27,21,49.76,1730119128813717.998	,1730119128813767.758	
3,N/A,KERNEL_AICORE,27,22,49.64,1730119128813767.778	,1730119128813817.418	
3,N/A,KERNEL_AICORE,27,23,49.74,1730119128813817.438	,1730119128813867.178	
3,N/A,KERNEL_AICORE,27,24,49.9,1730119128813867.218	,1730119128813917.118	
3,N/A,KERNEL_AICORE,27,25,49.66,1730119128813917.138	,1730119128813966.798	
3,N/A,EVENT_RECORD,27,26,0.0,1730119128813966.818	,1730119128813966.818	
3,N/A,KERNEL_AICORE,27,27,49.78,1730119128814035.498	,1730119128814085.278	
3,N/A,KERNEL_AICORE,27,28,50.12,1730119128814085.318	,1730119128814135.438	
3,N/A,KERNEL_AICORE,27,29,50.32,1730119128814135.458	,1730119128814185.778	
3,N/A,KERNEL_AICORE,27,30,49.68,1730119128814185.818	,1730119128814235.498	
3,N/A,KERNEL_AICORE,27,31,49.64,1730119128814235.538	,1730119128814285.178	
3,N/A,KERNEL_AICORE,27,32,49.64,1730119128814285.218	,1730119128814334.858	
3,N/A,KERNEL_AICORE,27,33,50.76,1730119128814334.898	,1730119128814385.658	
3,N/A,KERNEL_AICORE,27,34,49.54,1730119128814385.678	,1730119128814435.218	
3,N/A,KERNEL_AICORE,27,35,49.76,1730119128814435.238	,1730119128814484.998	
3,N/A,KERNEL_AICORE,27,36,49.88,1730119128814485.018	,1730119128814534.898	
3,N/A,KERNEL_AICORE,27,37,49.74,1730119128814534.938	,1730119128814584.678	
3,N/A,KERNEL_AICORE,27,38,49.88,1730119128814584.698	,1730119128814634.578	
3,N/A,KERNEL_AICORE,27,39,49.76,1730119128814634.598	,1730119128814684.358	
3,N/A,KERNEL_AICORE,27,40,49.62,1730119128814684.378	,1730119128814733.998	
3,N/A,KERNEL_AICORE,27,41,49.62,1730119128814734.018	,1730119128814783.638	
3,N/A,KERNEL_AICORE,27,42,50.02,1730119128814783.658	,1730119128814833.678	
3,N/A,KERNEL_AICORE,27,43,49.88,1730119128814833.698	,1730119128814883.578	
3,N/A,KERNEL_AICORE,27,44,49.76,1730119128814883.598	,1730119128814933.358	
3,N/A,KERNEL_AICORE,27,45,50.1,1730119128814933.398	,1730119128814983.498	
3,N/A,KERNEL_AICORE,27,46,49.68,1730119128814983.518	,1730119128815033.198	
3,N/A,EVENT_RECORD,27,47,0.0,1730119128815033.218	,1730119128815033.218	
3,N/A,KERNEL_AICORE,27,48,49.7,1730119128815110.658	,1730119128815160.358	
3,N/A,KERNEL_AICORE,27,49,49.7,1730119128815160.378	,1730119128815210.078	
3,N/A,KERNEL_AICORE,27,50,49.66,1730119128815210.098	,1730119128815259.758	
3,N/A,KERNEL_AICORE,27,51,49.58,1730119128815259.778	,1730119128815309.358	
3,N/A,KERNEL_AICORE,27,52,49.52,1730119128815309.378	,1730119128815358.898	
3,N/A,KERNEL_AICORE,27,53,49.82,1730119128815358.918	,1730119128815408.738	
3,N/A,KERNEL_AICORE,27,54,49.42,1730119128815408.778	,1730119128815458.198	
3,N/A,KERNEL_AICORE,27,55,49.6,1730119128815458.238	,1730119128815507.838	
3,N/A,KERNEL_AICORE,27,56,50.34,1730119128815507.858	,1730119128815558.198	
3,N/A,KERNEL_AICORE,27,57,49.68,1730119128815558.218	,1730119128815607.898	
3,N/A,KERNEL_AICORE,27,58,49.92,1730119128815607.938	,1730119128815657.858	
3,N/A,KERNEL_AICORE,27,59,49.72,1730119128815657.898	,1730119128815707.618	
3,N/A,KERNEL_AICORE,27,60,49.7,1730119128815707.638	,1730119128815757.338	
3,N/A,KERNEL_AICORE,27,61,50.32,1730119128815757.358	,1730119128815807.678	
3,N/A,KERNEL_AICORE,27,62,49.56,1730119128815807.698	,1730119128815857.258	
3,N/A,KERNEL_AICORE,27,63,50.12,1730119128815857.278	,1730119128815907.398	
3,N/A,KERNEL_AICORE,27,64,50.18,1730119128815907.418	,1730119128815957.598	
3,N/A,KERNEL_AICORE,27,65,49.7,1730119128815957.618	,1730119128816007.318	
3,N/A,KERNEL_AICORE,27,66,49.66,1730119128816007.338	,1730119128816056.998	
3,N/A,KERNEL_AICORE,27,67,49.68,1730119128816057.018	,1730119128816106.698	
3,N/A,EVENT_RECORD,27,68,0.0,1730119128816106.718	,1730119128816106.718	
3,N/A,KERNEL_AICORE,27,69,50.16,1730119128816183.038	,1730119128816233.198	
3,N/A,KERNEL_AICORE,27,70,49.76,1730119128816233.218	,1730119128816282.978	
3,N/A,KERNEL_AICORE,27,71,49.8,1730119128816282.998	,1730119128816332.798	
3,N/A,KERNEL_AICORE,27,72,49.8,1730119128816332.818	,1730119128816382.618	
3,N/A,KERNEL_AICORE,27,73,49.76,1730119128816382.638	,1730119128816432.398	
3,N/A,KERNEL_AICORE,27,74,49.74,1730119128816432.418	,1730119128816482.158	
3,N/A,KERNEL_AICORE,27,75,49.62,1730119128816482.198	,1730119128816531.818	
3,N/A,KERNEL_AICORE,27,76,49.8,1730119128816531.838	,1730119128816581.638	
3,N/A,KERNEL_AICORE,27,77,50.2,1730119128816581.658	,1730119128816631.858	
3,N/A,KERNEL_AICORE,27,78,50.46,1730119128816631.878	,1730119128816682.338	
3,N/A,KERNEL_AICORE,27,79,49.6,1730119128816682.358	,1730119128816731.958	
3,N/A,KERNEL_AICORE,27,80,49.72,1730119128816731.978	,1730119128816781.698	
3,N/A,KERNEL_AICORE,27,81,49.7,1730119128816781.718	,1730119128816831.418	
3,N/A,KERNEL_AICORE,27,82,49.64,1730119128816831.438	,1730119128816881.078	
3,N/A,KERNEL_AICORE,27,83,49.72,1730119128816881.118	,1730119128816930.838	
3,N/A,KERNEL_AICORE,27,84,49.6,1730119128816930.858	,1730119128816980.458	
3,N/A,KERNEL_AICORE,27,85,49.68,1730119128816980.498	,1730119128817030.178	
3,N/A,KERNEL_AICORE,27,86,49.74,1730119128817030.218	,1730119128817079.958	
3,N/A,KERNEL_AICORE,27,87,49.66,1730119128817079.978	,1730119128817129.638	
3,N/A,KERNEL_AICORE,27,88,49.66,1730119128817129.658	,1730119128817179.318	
3,N/A,EVENT_RECORD,27,89,0.0,1730119128817179.338	,1730119128817179.338	
3,N/A,KERNEL_AICORE,27,90,49.74,1730119128817296.638	,1730119128817346.378	
3,N/A,KERNEL_AICORE,27,91,49.7,1730119128817346.398	,1730119128817396.098	
3,N/A,KERNEL_AICORE,27,92,49.64,1730119128817396.138	,1730119128817445.778	
3,N/A,KERNEL_AICORE,27,93,49.6,1730119128817445.798	,1730119128817495.398	
3,N/A,KERNEL_AICORE,27,94,50.12,1730119128817495.418	,1730119128817545.538	
3,N/A,KERNEL_AICORE,27,95,50.26,1730119128817545.558	,1730119128817595.818	
3,N/A,KERNEL_AICORE,27,96,49.5,1730119128817595.838	,1730119128817645.338	
3,N/A,KERNEL_AICORE,27,97,49.96,1730119128817645.358	,1730119128817695.318	
3,N/A,KERNEL_AICORE,27,98,50.0,1730119128817695.338	,1730119128817745.338	
3,N/A,KERNEL_AICORE,27,99,49.88,1730119128817745.358	,1730119128817795.238	
3,N/A,KERNEL_AICORE,27,100,49.82,1730119128817795.258	,1730119128817845.078	
3,N/A,KERNEL_AICORE,27,101,49.68,1730119128817845.098	,1730119128817894.778	
3,N/A,KERNEL_AICORE,27,102,49.56,1730119128817894.798	,1730119128817944.358	
3,N/A,KERNEL_AICORE,27,103,49.7,1730119128817944.378	,1730119128817994.078	
3,N/A,KERNEL_AICORE,27,104,49.74,1730119128817994.118	,1730119128818043.858	
3,N/A,KERNEL_AICORE,27,105,49.74,1730119128818043.878	,1730119128818093.618	
