Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PROFILING_ENABLE,39,3,0.0,1730884229191129.172	,1730884229191129.172	
1,N/A,KERNEL_AICORE,42,0,120.602,1730884229221884.546	,1730884229222005.148	
1,N/A,KERNEL_AICORE,42,1,125.582,1730884229222005.168	,1730884229222130.750	
1,N/A,KERNEL_AICORE,42,2,123.282,1730884229222130.771	,1730884229222254.053	
1,N/A,KERNEL_AICORE,42,3,124.362,1730884229222254.073	,1730884229222378.435	
1,N/A,KERNEL_AICORE,42,4,124.662,1730884229222378.456	,1730884229222503.118	
1,N/A,EVENT_RECORD,42,5,0.0,1730884229222503.138	,1730884229222503.138	
1,N/A,KERNEL_AICORE,42,6,124.482,1730884229222620.281	,1730884229222744.763	
1,N/A,KERNEL_AICORE,42,7,124.782,1730884229222744.783	,1730884229222869.565	
1,N/A,KERNEL_AICORE,42,8,124.502,1730884229222869.586	,1730884229222994.088	
1,N/A,KERNEL_AICORE,42,9,124.142,1730884229222994.128	,1730884229223118.270	
1,N/A,KERNEL_AICORE,42,10,124.422,1730884229223118.291	,1730884229223242.713	
1,N/A,KERNEL_AICORE,42,11,125.022,1730884229223242.733	,1730884229223367.755	
1,N/A,KERNEL_AICORE,42,12,125.022,1730884229223367.776	,1730884229223492.798	
1,N/A,KERNEL_AICORE,42,13,122.942,1730884229223492.838	,1730884229223615.780	
1,N/A,KERNEL_AICORE,42,14,123.082,1730884229223615.801	,1730884229223738.883	
1,N/A,KERNEL_AICORE,42,15,123.842,1730884229223738.923	,1730884229223862.765	
1,N/A,KERNEL_AICORE,42,16,124.882,1730884229223862.786	,1730884229223987.668	
1,N/A,KERNEL_AICORE,42,17,125.262,1730884229223987.688	,1730884229224112.950	
1,N/A,KERNEL_AICORE,42,18,123.182,1730884229224112.971	,1730884229224236.153	
1,N/A,KERNEL_AICORE,42,19,123.342,1730884229224236.173	,1730884229224359.515	
1,N/A,KERNEL_AICORE,42,20,123.842,1730884229224359.535	,1730884229224483.377	
1,N/A,KERNEL_AICORE,42,21,122.342,1730884229224483.398	,1730884229224605.740	
1,N/A,KERNEL_AICORE,42,22,125.162,1730884229224605.760	,1730884229224730.922	
1,N/A,KERNEL_AICORE,42,23,125.402,1730884229224730.943	,1730884229224856.345	
