block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,31.217501,24974,0.699928,0.699928,0.000000,149176320,32,32,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,31.705000,25364,0.688377,0.688377,0.000000,148316160,32,32,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,31.400000,25120,0.695064,0.695064,0.000000,148316160,32,32,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,31.038750,24831,0.703959,0.703959,0.000000,149872640,32,32,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,24.718750,19775,0.663464,0.663464,0.000000,112312320,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,25.261250,20209,0.648226,0.648226,0.000000,111452160,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,25.147499,20118,0.649170,0.649170,0.000000,110428160,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,25.450001,20360,0.642436,0.642436,0.000000,110592000,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,24.933750,19947,0.655738,0.655738,0.000000,110592000,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,24.252501,19402,0.674157,0.674157,0.000000,111288320,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,24.665001,19732,0.662883,0.662883,0.000000,110592000,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,24.251249,19401,0.675223,0.675223,0.000000,112148480,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,24.832500,19866,0.659418,0.659418,0.000000,111452160,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,24.368750,19495,0.672993,0.672993,0.000000,112312320,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,24.565001,19652,0.664563,0.664563,0.000000,110428160,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,24.325001,19460,0.673176,0.673176,0.000000,111452160,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,25.125000,20100,0.650746,0.650746,0.000000,110592000,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,24.877501,19902,0.657220,0.657220,0.000000,110592000,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,24.856251,19885,0.658788,0.658788,0.000000,112844800,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,24.627501,19702,0.663892,0.663892,0.000000,110592000,24,24,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
