block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,31.217501,24974,137,383,7841,358,7849,346,26.346153,95.705750,93.573372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,31.705000,25364,391,129,8118,97,8078,101,75.192307,98.792244,98.066689,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,31.400000,25120,19,501,5975,2240,5942,2237,3.653846,72.691231,70.568756,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,31.038750,24831,509,11,7537,660,7533,664,97.884613,91.923874,92.107132,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,24.718750,19775,392,0,5812,337,5802,347,100.000000,94.438118,94.609932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,25.261250,20209,8,384,5989,162,5985,162,2.040816,97.365425,94.420807,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,25.147499,20118,14,378,6049,100,6047,102,3.571429,98.357460,95.429474,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,25.450001,20360,386,6,5621,552,5563,562,98.469391,90.941620,91.174156,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,24.933750,19947,264,128,6086,68,6074,70,67.346939,98.877869,97.903862,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,24.252501,19402,136,256,6109,49,6091,49,34.693878,99.203125,97.210403,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,24.665001,19732,136,256,4454,1696,4452,1696,34.693878,72.418282,71.252953,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,24.251249,19401,264,128,5298,863,5276,861,67.346939,85.981461,85.405830,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,24.832500,19866,392,0,6134,20,6108,36,100.000000,99.544640,99.558708,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,24.368750,19495,8,384,5477,672,5473,676,2.040816,89.038872,86.351456,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,24.565001,19652,139,253,5456,705,5436,701,35.459183,88.567245,86.926712,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,24.325001,19460,261,131,6000,149,6000,149,66.581635,97.576843,96.619385,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,25.125000,20100,8,384,3824,2325,3806,2343,2.040816,62.042610,60.189125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,24.877501,19902,392,0,6113,42,6103,40,100.000000,99.333221,99.353821,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,24.856251,19885,8,384,5354,795,5364,785,2.040816,87.152382,84.523247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,24.627501,19702,392,0,5783,377,5755,383,100.000000,93.820137,94.011032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
