block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,31.217501,24974,62.565067,62.565067,62.603256,3.940866,513,0.767758,33,0.739369,1,0.000080,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2049.250000,129.000000,2048.000000,23.698889,132.000000,2.761996,0.000000,0.000000,128.000000,1.818752,N/A,N/A,N/A,N/A,
1,cube0,31.705000,25364,61.603058,61.603058,61.640659,3.880271,513,0.764903,33,0.703556,1,0.000079,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2049.250000,129.000000,2048.000000,23.334492,132.000000,2.719527,0.000000,0.000000,128.000000,1.790787,N/A,N/A,N/A,N/A,
2,cube0,31.400000,25120,62.201435,62.201435,62.239399,3.917961,513,0.760589,33,0.741720,1,0.000080,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2049.250000,129.000000,2048.000000,23.561150,132.000000,2.745943,0.000000,0.000000,128.000000,1.808181,N/A,N/A,N/A,N/A,
3,cube0,31.038750,24831,62.925377,62.925377,62.963783,3.963561,513,0.770448,33,0.750513,1,0.000081,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2049.250000,129.000000,2048.000000,23.835369,132.000000,2.777902,0.000000,0.000000,128.000000,1.829226,N/A,N/A,N/A,N/A,
4,cube0,24.718750,19775,59.260429,59.260429,59.308659,3.742358,385,0.725057,25,0.730518,1,0.000101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,22.447132,100.000000,2.642535,0.000000,0.000000,96.000000,1.722687,N/A,N/A,N/A,N/A,
5,cube0,25.261250,20209,57.987778,57.987778,58.034969,3.661989,385,0.710377,25,0.683953,1,0.000099,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,21.965067,100.000000,2.585785,0.000000,0.000000,96.000000,1.685691,N/A,N/A,N/A,N/A,
6,cube0,25.147499,20118,58.250076,58.250076,58.297482,3.678553,385,0.717268,25,0.703599,1,0.000099,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,22.064423,100.000000,2.597481,0.000000,0.000000,96.000000,1.693316,N/A,N/A,N/A,N/A,
7,cube0,25.450001,20360,57.557709,57.557709,57.604553,3.634829,385,0.707613,25,0.674214,1,0.000098,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,21.802162,100.000000,2.566607,0.000000,0.000000,96.000000,1.673189,N/A,N/A,N/A,N/A,
8,cube0,24.933750,19947,58.749435,58.749435,58.797249,3.710088,385,0.731739,25,0.689377,1,0.000100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,22.253572,100.000000,2.619749,0.000000,0.000000,96.000000,1.707832,N/A,N/A,N/A,N/A,
9,cube0,24.252501,19402,60.399700,60.399700,60.448856,3.814304,385,0.718740,25,0.795176,1,0.000103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,22.878675,100.000000,2.693337,0.000000,0.000000,96.000000,1.755805,N/A,N/A,N/A,N/A,
10,cube0,24.665001,19732,59.389568,59.389568,59.437901,3.750513,385,0.728664,25,0.737026,1,0.000101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,22.496050,100.000000,2.648293,0.000000,0.000000,96.000000,1.726441,N/A,N/A,N/A,N/A,
11,cube0,24.251249,19401,60.402817,60.402817,60.451973,3.814501,385,0.719035,25,0.809907,1,0.000103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,22.879854,100.000000,2.693476,0.000000,0.000000,96.000000,1.755896,N/A,N/A,N/A,N/A,
12,cube0,24.832500,19866,58.988976,58.988976,59.036983,3.725215,385,0.712021,25,0.756217,1,0.000101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,22.344309,100.000000,2.630430,0.000000,0.000000,96.000000,1.714796,N/A,N/A,N/A,N/A,
13,cube0,24.368750,19495,60.111568,60.111568,60.160488,3.796108,385,0.719723,25,0.822006,1,0.000103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,22.769533,100.000000,2.680489,0.000000,0.000000,96.000000,1.747429,N/A,N/A,N/A,N/A,
14,cube0,24.565001,19652,59.631332,59.631332,59.679863,3.765781,385,0.711734,25,0.782668,1,0.000102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,22.587626,100.000000,2.659074,0.000000,0.000000,96.000000,1.733469,N/A,N/A,N/A,N/A,
15,cube0,24.325001,19460,60.219681,60.219681,60.268688,3.802936,385,0.723792,25,0.781860,1,0.000103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,22.810486,100.000000,2.685310,0.000000,0.000000,96.000000,1.750572,N/A,N/A,N/A,N/A,
16,cube0,25.125000,20100,58.302238,58.302238,58.349686,3.681847,385,0.700846,25,0.763930,1,0.000100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,22.084181,100.000000,2.599807,0.000000,0.000000,96.000000,1.694832,N/A,N/A,N/A,N/A,
17,cube0,24.877501,19902,58.882271,58.882271,58.930191,3.718477,385,0.713496,25,0.789619,1,0.000100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,22.303890,100.000000,2.625672,0.000000,0.000000,96.000000,1.711694,N/A,N/A,N/A,N/A,
18,cube0,24.856251,19885,58.932610,58.932610,58.980572,3.721656,385,0.711139,25,0.772291,1,0.000101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,22.322958,100.000000,2.627917,0.000000,0.000000,96.000000,1.713157,N/A,N/A,N/A,N/A,
19,cube0,24.627501,19702,59.480000,59.480000,59.528408,3.756224,385,0.712821,25,0.788143,1,0.000102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1537.250000,97.000000,1536.000000,22.530304,100.000000,2.652326,0.000000,0.000000,96.000000,1.729070,N/A,N/A,N/A,N/A,
