block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,31.217501,24974,62.565067,31.282534,250.260269,31.282534,54.744434,62.565067,N/A,N/A,
1,cube0,31.705000,25364,61.603058,30.801529,246.412231,30.801529,53.902676,61.603058,N/A,N/A,
2,cube0,31.400000,25120,62.201435,31.100718,248.805740,31.100718,54.426254,62.201435,N/A,N/A,
3,cube0,31.038750,24831,62.925377,31.462688,251.701508,31.462688,55.059704,62.925377,N/A,N/A,
4,cube0,24.718750,19775,59.260429,29.630215,237.041718,29.630215,51.852875,59.260429,N/A,N/A,
5,cube0,25.261250,20209,57.987778,28.993889,231.951111,28.993889,50.739307,57.987778,N/A,N/A,
6,cube0,25.147499,20118,58.250076,29.125038,233.000305,29.125038,50.968819,58.250076,N/A,N/A,
7,cube0,25.450001,20360,57.557709,28.778854,230.230835,28.778854,50.362995,57.557709,N/A,N/A,
8,cube0,24.933750,19947,58.749435,29.374718,234.997742,29.374718,51.405758,58.749435,N/A,N/A,
9,cube0,24.252501,19402,60.399700,30.199850,241.598801,30.199850,52.849739,60.399700,N/A,N/A,
10,cube0,24.665001,19732,59.389568,29.694784,237.558273,29.694784,51.965874,59.389568,N/A,N/A,
11,cube0,24.251249,19401,60.402817,30.201408,241.611267,30.201408,52.852463,60.402817,N/A,N/A,
12,cube0,24.832500,19866,58.988976,29.494488,235.955902,29.494488,51.615353,58.988976,N/A,N/A,
13,cube0,24.368750,19495,60.111568,30.055784,240.446274,30.055784,52.597622,60.111568,N/A,N/A,
14,cube0,24.565001,19652,59.631332,29.815666,238.525330,29.815666,52.177418,59.631332,N/A,N/A,
15,cube0,24.325001,19460,60.219681,30.109840,240.878723,30.109840,52.692219,60.219681,N/A,N/A,
16,cube0,25.125000,20100,58.302238,29.151119,233.208954,29.151119,51.014458,58.302238,N/A,N/A,
17,cube0,24.877501,19902,58.882271,29.441135,235.529083,29.441135,51.521988,58.882271,N/A,N/A,
18,cube0,24.856251,19885,58.932610,29.466305,235.730438,29.466305,51.566036,58.932610,N/A,N/A,
19,cube0,24.627501,19702,59.480000,29.740000,237.919998,29.740000,52.045002,59.480000,N/A,N/A,
