block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,cube0,31.217501,24974,21.850000,0.699928,10.571250,0.338632,23.967501,0.767758,23.081249,0.739369,0.002500,0.000080,2.008750,0.064347,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,31.705000,25364,21.825001,0.688377,10.717500,0.338038,24.251249,0.764903,22.306250,0.703556,0.002500,0.000079,2.316250,0.073056,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,31.400000,25120,21.825001,0.695064,10.180000,0.324204,23.882500,0.760589,23.290001,0.741720,0.002500,0.000080,2.658750,0.084674,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,31.038750,24831,21.850000,0.703959,10.142500,0.326769,23.913750,0.770448,23.295000,0.750513,0.002500,0.000081,2.388750,0.076960,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,24.718750,19775,16.400000,0.663464,8.748750,0.353932,17.922501,0.725057,18.057501,0.730518,0.002500,0.000101,1.866250,0.075499,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,25.261250,20209,16.375000,0.648226,9.313750,0.368697,17.945000,0.710377,17.277500,0.683953,0.002500,0.000099,1.670000,0.066109,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,25.147499,20118,16.325001,0.649170,8.751250,0.347997,18.037500,0.717268,17.693750,0.703599,0.002500,0.000099,1.568750,0.062382,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,25.450001,20360,16.350000,0.642436,8.988750,0.353193,18.008751,0.707613,17.158751,0.674214,0.002500,0.000098,1.877500,0.073772,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,24.933750,19947,16.350000,0.655738,9.087500,0.364466,18.245001,0.731739,17.188749,0.689377,0.002500,0.000100,1.751250,0.070236,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,24.252501,19402,16.350000,0.674157,9.278750,0.382589,17.431250,0.718740,19.285000,0.795176,0.002500,0.000103,1.522500,0.062777,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,24.665001,19732,16.350000,0.662883,9.116250,0.369603,17.972500,0.728664,18.178749,0.737026,0.002500,0.000101,1.670000,0.067707,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,24.251249,19401,16.375000,0.675223,9.137500,0.376785,17.437500,0.719035,19.641251,0.809907,0.002500,0.000103,1.806250,0.074481,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,24.832500,19866,16.375000,0.659418,9.361250,0.376976,17.681250,0.712021,18.778749,0.756217,0.002500,0.000101,1.853750,0.074650,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,24.368750,19495,16.400000,0.672993,8.052500,0.330444,17.538750,0.719723,20.031250,0.822006,0.002500,0.000103,1.495000,0.061349,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,24.565001,19652,16.325001,0.664563,8.217500,0.334521,17.483749,0.711734,19.226250,0.782668,0.002500,0.000102,1.663750,0.067728,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,24.325001,19460,16.375000,0.673176,8.478750,0.348561,17.606251,0.723792,19.018749,0.781860,0.002500,0.000103,1.905000,0.078314,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,25.125000,20100,16.350000,0.650746,9.413750,0.374677,17.608749,0.700846,19.193750,0.763930,0.002500,0.000100,1.707500,0.067960,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,24.877501,19902,16.350000,0.657220,8.165000,0.328208,17.750000,0.713496,19.643749,0.789619,0.002500,0.000100,1.952500,0.078485,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,24.856251,19885,16.375000,0.658788,8.195000,0.329696,17.676250,0.711139,19.196251,0.772291,0.002500,0.000101,1.993750,0.080211,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,24.627501,19702,16.350000,0.663892,8.240000,0.334585,17.555000,0.712821,19.410000,0.788143,0.002500,0.000102,1.506250,0.061161,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
