block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,176.353745,141083,0.806192,0.806192,0.000000,975872000,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,176.593750,141275,0.804530,0.804530,0.000000,972062720,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,176.213745,140971,0.806549,0.806549,0.000000,977100800,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,176.591248,141273,0.804542,0.804542,0.000000,972759040,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,176.876251,141501,0.803952,0.803952,0.000000,977756160,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,177.308746,141847,0.801286,0.801286,0.000000,973455360,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,176.807495,141446,0.803982,0.803982,0.000000,975872000,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,177.678757,142143,0.800039,0.800039,0.000000,975872000,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,177.328751,141863,0.800914,0.800914,0.000000,973127680,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,176.406250,141125,0.806236,0.806236,0.000000,982794240,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,175.160004,140128,0.810402,0.810402,0.000000,972472320,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,174.916245,139933,0.811960,0.811960,0.000000,971038720,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,176.248749,140999,0.805538,0.805538,0.000000,968622080,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,175.561249,140449,0.809262,0.809262,0.000000,973455360,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,176.521255,141217,0.804294,0.804294,0.000000,970547200,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,174.779999,139824,0.812593,0.812593,0.000000,971038720,208,208,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,161.192505,128954,0.813623,0.813623,0.000000,897146880,192,192,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,162.520004,130016,0.806055,0.806055,0.000000,892313600,192,192,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,162.872498,130298,0.804617,0.804617,0.000000,896655360,192,192,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,162.638748,130111,0.805312,0.805312,0.000000,891289600,192,192,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
