block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,176.353745,141083,395,1277,52776,607,52534,589,23.624401,98.877060,97.713951,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,176.593750,141275,1285,387,52655,598,52649,604,76.854065,98.871422,98.531128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,176.213745,140971,1544,128,52590,663,52595,658,92.344498,98.759697,98.660538,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,176.591248,141273,136,1536,50863,2429,50791,2423,8.133971,95.444389,94.094917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,176.876251,141501,904,768,51833,1446,51783,1444,54.066986,97.286537,96.618538,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,177.308746,141847,776,896,52604,786,52324,792,46.411484,98.518394,97.713028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,176.807495,141446,8,1664,52819,514,52663,510,0.478469,99.038551,97.515205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,177.678757,142143,1672,0,51724,1534,51710,1538,100.000000,97.115654,97.160233,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,177.328751,141863,1160,512,52442,927,52208,929,69.377991,98.257378,97.811012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,176.406250,141125,520,1152,52111,1142,52107,1146,31.100479,97.851761,96.820053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,175.160004,140128,911,761,52384,1004,52122,996,54.485645,98.122169,97.447723,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,174.916245,139933,769,903,52197,1057,52193,1059,45.992825,98.013260,97.209229,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,176.248749,140999,1544,128,52892,500,52628,486,92.344498,99.074234,98.970215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,175.561249,140449,136,1536,49329,3934,49283,3960,8.133971,92.588211,91.282883,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,176.521255,141217,264,1408,48597,4656,48609,4644,15.789474,91.268097,90.101501,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,174.779999,139824,1416,256,53227,31,53215,33,84.688995,99.939911,99.704193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,161.192505,128954,539,1005,45170,3989,45150,4005,34.909325,91.868912,90.988205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,162.520004,130016,1013,531,44739,4527,44531,4517,65.608810,90.800903,90.411385,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,162.872498,130298,159,1385,33535,15656,33495,15628,10.297928,68.179504,67.284546,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,162.638748,130111,1393,151,45984,3173,45986,3171,90.220207,93.547203,93.495766,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
