block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,176.353745,141083,71.987770,71.987770,71.994530,2.255025,3329,0.906183,209,0.755917,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.268095,420.000000,1.555650,0.000000,0.000000,416.000000,1.046334,N/A,N/A,N/A,N/A,
1,cube0,176.593750,141275,71.889931,71.889931,71.896683,2.251961,3329,0.903975,209,0.780181,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.231035,420.000000,1.553535,0.000000,0.000000,416.000000,1.044912,N/A,N/A,N/A,N/A,
2,cube0,176.213745,140971,72.044960,72.044960,72.051727,2.256817,3329,0.906463,209,0.756560,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.289759,420.000000,1.556886,0.000000,0.000000,416.000000,1.047165,N/A,N/A,N/A,N/A,
3,cube0,176.591248,141273,71.890953,71.890953,71.897705,2.251993,3329,0.911023,209,0.742888,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.231421,420.000000,1.553558,0.000000,0.000000,416.000000,1.044927,N/A,N/A,N/A,N/A,
4,cube0,176.876251,141501,71.775108,71.775108,71.781853,2.248364,3329,0.908969,209,0.730956,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.187540,420.000000,1.551054,0.000000,0.000000,416.000000,1.043243,N/A,N/A,N/A,N/A,
5,cube0,177.308746,141847,71.600037,71.600037,71.606758,2.242880,3329,0.905786,209,0.731732,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.121227,420.000000,1.547271,0.000000,0.000000,416.000000,1.040698,N/A,N/A,N/A,N/A,
6,cube0,176.807495,141446,71.803024,71.803024,71.809769,2.249238,3329,0.905356,209,0.730972,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.198114,420.000000,1.551657,0.000000,0.000000,416.000000,1.043649,N/A,N/A,N/A,N/A,
7,cube0,177.678757,142143,71.450928,71.450928,71.457642,2.238209,3329,0.904680,209,0.724707,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.064745,420.000000,1.544049,0.000000,0.000000,416.000000,1.038531,N/A,N/A,N/A,N/A,
8,cube0,177.328751,141863,71.591957,71.591957,71.598679,2.242627,3329,0.905190,209,0.727357,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.118166,420.000000,1.547096,0.000000,0.000000,416.000000,1.040581,N/A,N/A,N/A,N/A,
9,cube0,176.406250,141125,71.966339,71.966339,71.973099,2.254354,3329,0.908393,209,0.737779,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.259977,420.000000,1.555187,0.000000,0.000000,416.000000,1.046022,N/A,N/A,N/A,N/A,
10,cube0,175.160004,140128,72.478378,72.478378,72.485184,2.270394,3329,0.905237,209,0.802238,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.453932,420.000000,1.566252,0.000000,0.000000,416.000000,1.053465,N/A,N/A,N/A,N/A,
11,cube0,174.916245,139933,72.579376,72.579376,72.586197,2.273558,3329,0.904897,209,0.832527,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.492188,420.000000,1.568434,0.000000,0.000000,416.000000,1.054933,N/A,N/A,N/A,N/A,
12,cube0,176.248749,140999,72.030655,72.030655,72.037422,2.256369,3329,0.904347,209,0.769637,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.284338,420.000000,1.556577,0.000000,0.000000,416.000000,1.046957,N/A,N/A,N/A,N/A,
13,cube0,175.561249,140449,72.312729,72.312729,72.319519,2.265205,3329,0.906130,209,0.788977,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.391186,420.000000,1.562672,0.000000,0.000000,416.000000,1.051057,N/A,N/A,N/A,N/A,
14,cube0,176.521255,141217,71.919456,71.919456,71.926208,2.252886,3329,0.902221,209,0.784842,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.242218,420.000000,1.554173,0.000000,0.000000,416.000000,1.045341,N/A,N/A,N/A,N/A,
15,cube0,174.779999,139824,72.635956,72.635956,72.642776,2.275330,3329,0.898558,209,0.846872,1,0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13313.250000,417.000000,13312.000000,27.513620,420.000000,1.569657,0.000000,0.000000,416.000000,1.055755,N/A,N/A,N/A,N/A,
16,cube0,161.192505,128954,72.700340,72.700340,72.707741,2.277802,3073,0.885386,193,0.924686,1,0.000016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12289.250000,385.000000,12288.000000,27.538008,388.000000,1.572295,0.000000,0.000000,384.000000,1.056691,N/A,N/A,N/A,N/A,
17,cube0,162.520004,130016,72.106506,72.106506,72.113846,2.259197,3073,0.893690,193,0.840097,1,0.000015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12289.250000,385.000000,12288.000000,27.313070,388.000000,1.559453,0.000000,0.000000,384.000000,1.048060,N/A,N/A,N/A,N/A,
18,cube0,162.872498,130298,71.950455,71.950455,71.957771,2.254307,3073,0.900612,193,0.809514,1,0.000015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12289.250000,385.000000,12288.000000,27.253960,388.000000,1.556077,0.000000,0.000000,384.000000,1.045792,N/A,N/A,N/A,N/A,
19,cube0,162.638748,130111,72.053864,72.053864,72.061195,2.257547,3073,0.897987,193,0.820553,1,0.000015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12289.250000,385.000000,12288.000000,27.293129,388.000000,1.558314,0.000000,0.000000,384.000000,1.047294,N/A,N/A,N/A,N/A,
