block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,176.353745,141083,71.987770,35.993885,287.951080,35.993885,67.488533,71.987770,N/A,N/A,
1,cube0,176.593750,141275,71.889931,35.944965,287.559723,35.944965,67.396812,71.889931,N/A,N/A,
2,cube0,176.213745,140971,72.044960,36.022480,288.179840,36.022480,67.542152,72.044960,N/A,N/A,
3,cube0,176.591248,141273,71.890953,35.945477,287.563812,35.945477,67.397766,71.890953,N/A,N/A,
4,cube0,176.876251,141501,71.775108,35.887554,287.100433,35.887554,67.289169,71.775108,N/A,N/A,
5,cube0,177.308746,141847,71.600037,35.800018,286.400146,35.800018,67.125031,71.600037,N/A,N/A,
6,cube0,176.807495,141446,71.803024,35.901512,287.212097,35.901512,67.315331,71.803024,N/A,N/A,
7,cube0,177.678757,142143,71.450928,35.725464,285.803711,35.725464,66.985245,71.450928,N/A,N/A,
8,cube0,177.328751,141863,71.591957,35.795979,286.367828,35.795979,67.117462,71.591957,N/A,N/A,
9,cube0,176.406250,141125,71.966339,35.983170,287.865356,35.983170,67.468445,71.966339,N/A,N/A,
10,cube0,175.160004,140128,72.478378,36.239189,289.913513,36.239189,67.948479,72.478378,N/A,N/A,
11,cube0,174.916245,139933,72.579376,36.289688,290.317505,36.289688,68.043167,72.579376,N/A,N/A,
12,cube0,176.248749,140999,72.030655,36.015327,288.122620,36.015327,67.528740,72.030655,N/A,N/A,
13,cube0,175.561249,140449,72.312729,36.156364,289.250916,36.156364,67.793182,72.312729,N/A,N/A,
14,cube0,176.521255,141217,71.919456,35.959728,287.677826,35.959728,67.424492,71.919456,N/A,N/A,
15,cube0,174.779999,139824,72.635956,36.317978,290.543823,36.317978,68.096207,72.635956,N/A,N/A,
16,cube0,161.192505,128954,72.700340,36.350170,290.801361,36.350170,68.156570,72.700340,N/A,N/A,
17,cube0,162.520004,130016,72.106506,36.053253,288.426025,36.053253,67.599854,72.106506,N/A,N/A,
18,cube0,162.872498,130298,71.950455,35.975227,287.801819,35.975227,67.453552,71.950455,N/A,N/A,
19,cube0,162.638748,130111,72.053864,36.026932,288.215454,36.026932,67.550499,72.053864,N/A,N/A,
