block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,176.353745,141083,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,176.593750,141275,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,176.213745,140971,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,176.591248,141273,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,176.876251,141501,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,177.308746,141847,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,176.807495,141446,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,177.678757,142143,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,177.328751,141863,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,176.406250,141125,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,175.160004,140128,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,174.916245,139933,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,176.248749,140999,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,175.561249,140449,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,176.521255,141217,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,174.779999,139824,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,161.192505,128954,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,162.520004,130016,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,162.872498,130298,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,162.638748,130111,N/A,N/A,N/A,N/A,N/A,N/A,
