block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,cube0,176.353745,141083,142.175003,0.806192,53.918751,0.305742,159.808746,0.906183,133.308746,0.755917,0.002500,0.000014,7.488750,0.042464,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,176.593750,141275,142.074997,0.804530,54.361252,0.307832,159.636246,0.903975,137.774994,0.780181,0.002500,0.000014,7.001250,0.039646,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,176.213745,140971,142.125000,0.806549,53.723751,0.304878,159.731247,0.906463,133.316254,0.756560,0.002500,0.000014,6.737500,0.038235,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,176.591248,141273,142.074997,0.804542,53.837502,0.304871,160.878754,0.911023,131.187500,0.742888,0.002500,0.000014,8.010000,0.045359,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,176.876251,141501,142.199997,0.803952,54.503750,0.308146,160.774994,0.908969,129.288757,0.730956,0.002500,0.000014,6.482500,0.036650,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,177.308746,141847,142.074997,0.801286,54.652500,0.308234,160.603745,0.905786,129.742493,0.731732,0.002500,0.000014,7.926250,0.044703,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,176.807495,141446,142.149994,0.803982,54.393749,0.307644,160.073746,0.905356,129.241257,0.730972,0.002500,0.000014,6.615000,0.037414,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,177.678757,142143,142.149994,0.800039,54.680000,0.307746,160.742493,0.904680,128.764999,0.724707,0.002500,0.000014,7.891250,0.044413,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,177.328751,141863,142.024994,0.800914,54.903751,0.309616,160.516251,0.905190,128.981247,0.727357,0.002500,0.000014,7.520000,0.042407,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,176.406250,141125,142.225006,0.806236,53.771252,0.304815,160.246246,0.908393,130.148743,0.737779,0.002500,0.000014,7.171250,0.040652,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,175.160004,140128,141.949997,0.810402,54.986252,0.313920,158.561249,0.905237,140.520004,0.802238,0.002500,0.000014,7.830000,0.044702,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,174.916245,139933,142.024994,0.811960,53.747501,0.307276,158.281250,0.904897,145.622498,0.832527,0.002500,0.000014,7.647500,0.043721,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,176.248749,140999,141.975006,0.805538,54.052502,0.306683,159.389999,0.904347,135.647507,0.769637,0.002500,0.000014,7.656250,0.043440,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,175.561249,140449,142.074997,0.809262,54.021252,0.307706,159.081253,0.906130,138.513748,0.788977,0.002500,0.000014,6.795000,0.038704,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,176.521255,141217,141.975006,0.804294,53.820000,0.304892,159.261246,0.902221,138.541245,0.784842,0.002500,0.000014,7.682500,0.043522,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,174.779999,139824,142.024994,0.812593,54.250000,0.310390,157.050003,0.898558,148.016251,0.846872,0.002500,0.000014,7.007500,0.040093,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,161.192505,128954,131.149994,0.813623,50.500000,0.313290,142.717499,0.885386,149.052505,0.924686,0.002500,0.000016,6.887500,0.042728,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,162.520004,130016,131.000000,0.806055,50.230000,0.309070,145.242493,0.893690,136.532501,0.840097,0.002500,0.000015,7.163750,0.044079,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,162.872498,130298,131.050003,0.804617,50.511250,0.310128,146.684998,0.900612,131.847504,0.809514,0.002500,0.000015,7.027500,0.043147,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,162.638748,130111,130.975006,0.805312,50.465000,0.310289,146.047501,0.897987,133.453751,0.820553,0.002500,0.000015,6.516250,0.040066,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
