Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,0,3,0.02,1731415464428357.734	,1731415464428357.754	
0,N/A,KERNEL_AICORE,3,0,110.822,1731415464450532.817	,1731415464450643.639	
0,N/A,KERNEL_AICORE,3,1,88.701,1731415464450643.659	,1731415464450732.360	
0,N/A,KERNEL_AICORE,3,2,88.661,1731415464450732.381	,1731415464450821.042	
0,N/A,KERNEL_AICORE,3,3,88.581,1731415464450821.063	,1731415464450909.644	
0,N/A,KERNEL_AICORE,3,4,88.401,1731415464450909.665	,1731415464450998.066	
0,N/A,EVENT_RECORD,3,5,0.0,1731415464450998.106	,1731415464450998.106	
0,N/A,KERNEL_AICORE,3,6,88.781,1731415464451103.048	,1731415464451191.829	
0,N/A,KERNEL_AICORE,3,7,88.641,1731415464451191.850	,1731415464451280.491	
0,N/A,KERNEL_AICORE,3,8,88.521,1731415464451280.512	,1731415464451369.033	
0,N/A,KERNEL_AICORE,3,9,88.341,1731415464451369.054	,1731415464451457.395	
0,N/A,KERNEL_AICORE,3,10,88.221,1731415464451457.415	,1731415464451545.636	
0,N/A,KERNEL_AICORE,3,11,89.781,1731415464451545.657	,1731415464451635.438	
0,N/A,KERNEL_AICORE,3,12,88.081,1731415464451635.459	,1731415464451723.540	
0,N/A,KERNEL_AICORE,3,13,88.641,1731415464451723.561	,1731415464451812.202	
0,N/A,KERNEL_AICORE,3,14,88.901,1731415464451812.223	,1731415464451901.124	
0,N/A,KERNEL_AICORE,3,15,88.561,1731415464451901.144	,1731415464451989.705	
0,N/A,KERNEL_AICORE,3,16,88.961,1731415464451989.726	,1731415464452078.687	
0,N/A,KERNEL_AICORE,3,17,88.561,1731415464452078.708	,1731415464452167.269	
0,N/A,KERNEL_AICORE,3,18,89.041,1731415464452167.310	,1731415464452256.351	
0,N/A,KERNEL_AICORE,3,19,89.121,1731415464452256.371	,1731415464452345.492	
0,N/A,KERNEL_AICORE,3,20,88.141,1731415464452345.513	,1731415464452433.654	
0,N/A,KERNEL_AICORE,3,21,88.901,1731415464452433.695	,1731415464452522.596	
0,N/A,KERNEL_AICORE,3,22,88.741,1731415464452522.637	,1731415464452611.378	
0,N/A,KERNEL_AICORE,3,23,88.381,1731415464452611.399	,1731415464452699.780	
0,N/A,KERNEL_AICORE,3,24,88.581,1731415464452699.800	,1731415464452788.381	
0,N/A,KERNEL_AICORE,3,25,88.621,1731415464452788.402	,1731415464452877.023	
0,N/A,EVENT_RECORD,3,26,0.02,1731415464452877.044	,1731415464452877.064	
0,N/A,KERNEL_AICORE,3,27,88.041,1731415464452950.285	,1731415464453038.326	
0,N/A,KERNEL_AICORE,3,28,88.841,1731415464453038.367	,1731415464453127.208	
0,N/A,KERNEL_AICORE,3,29,88.441,1731415464453127.229	,1731415464453215.670	
0,N/A,KERNEL_AICORE,3,30,88.661,1731415464453215.691	,1731415464453304.352	
0,N/A,KERNEL_AICORE,3,31,88.861,1731415464453304.392	,1731415464453393.253	
0,N/A,KERNEL_AICORE,3,32,88.641,1731415464453393.274	,1731415464453481.915	
0,N/A,KERNEL_AICORE,3,33,88.321,1731415464453481.936	,1731415464453570.257	
0,N/A,KERNEL_AICORE,3,34,88.621,1731415464453570.298	,1731415464453658.919	
0,N/A,KERNEL_AICORE,3,35,89.121,1731415464453658.939	,1731415464453748.060	
0,N/A,KERNEL_AICORE,3,36,88.541,1731415464453748.081	,1731415464453836.622	
0,N/A,KERNEL_AICORE,3,37,88.481,1731415464453836.643	,1731415464453925.124	
0,N/A,KERNEL_AICORE,3,38,88.641,1731415464453925.145	,1731415464454013.786	
0,N/A,KERNEL_AICORE,3,39,88.381,1731415464454013.827	,1731415464454102.208	
0,N/A,KERNEL_AICORE,3,40,88.761,1731415464454102.228	,1731415464454190.989	
0,N/A,KERNEL_AICORE,3,41,88.681,1731415464454191.010	,1731415464454279.691	
0,N/A,KERNEL_AICORE,3,42,88.161,1731415464454279.712	,1731415464454367.873	
0,N/A,KERNEL_AICORE,3,43,88.841,1731415464454367.894	,1731415464454456.735	
0,N/A,KERNEL_AICORE,3,44,88.681,1731415464454456.755	,1731415464454545.436	
0,N/A,KERNEL_AICORE,3,45,89.041,1731415464454545.457	,1731415464454634.498	
0,N/A,KERNEL_AICORE,3,46,89.161,1731415464454634.519	,1731415464454723.680	
0,N/A,EVENT_RECORD,3,47,0.02,1731415464454723.701	,1731415464454723.721	
0,N/A,KERNEL_AICORE,3,48,89.001,1731415464454800.562	,1731415464454889.563	
0,N/A,KERNEL_AICORE,3,49,88.881,1731415464454889.584	,1731415464454978.465	
0,N/A,KERNEL_AICORE,3,50,88.701,1731415464454978.486	,1731415464455067.187	
0,N/A,KERNEL_AICORE,3,51,88.281,1731415464455067.208	,1731415464455155.489	
0,N/A,KERNEL_AICORE,3,52,88.881,1731415464455155.509	,1731415464455244.390	
0,N/A,KERNEL_AICORE,3,53,88.341,1731415464455244.411	,1731415464455332.752	
0,N/A,KERNEL_AICORE,3,54,88.041,1731415464455332.773	,1731415464455420.814	
0,N/A,KERNEL_AICORE,3,55,88.301,1731415464455420.835	,1731415464455509.136	
0,N/A,KERNEL_AICORE,3,56,88.741,1731415464455509.156	,1731415464455597.897	
0,N/A,KERNEL_AICORE,3,57,89.361,1731415464455597.938	,1731415464455687.299	
0,N/A,KERNEL_AICORE,3,58,88.841,1731415464455687.340	,1731415464455776.181	
0,N/A,KERNEL_AICORE,3,59,88.481,1731415464455776.222	,1731415464455864.703	
0,N/A,KERNEL_AICORE,3,60,87.981,1731415464455864.724	,1731415464455952.705	
0,N/A,KERNEL_AICORE,3,61,88.561,1731415464455952.745	,1731415464456041.306	
0,N/A,KERNEL_AICORE,3,62,88.421,1731415464456041.347	,1731415464456129.768	
0,N/A,KERNEL_AICORE,3,63,88.421,1731415464456129.789	,1731415464456218.210	
0,N/A,KERNEL_AICORE,3,64,88.521,1731415464456218.231	,1731415464456306.752	
0,N/A,KERNEL_AICORE,3,65,88.581,1731415464456306.772	,1731415464456395.353	
0,N/A,KERNEL_AICORE,3,66,88.461,1731415464456395.374	,1731415464456483.835	
0,N/A,KERNEL_AICORE,3,67,88.501,1731415464456483.856	,1731415464456572.357	
0,N/A,EVENT_RECORD,3,68,0.0,1731415464456572.378	,1731415464456572.378	
