block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,11.185000,20133,0.027567,0.030547,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,11.314445,20366,0.027251,0.030197,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,10.714444,19286,0.028777,0.031888,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,10.958889,19726,0.028135,0.031177,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,11.343333,20418,0.027182,0.030120,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,11.671111,21008,0.026419,0.029275,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,11.289444,20321,0.027312,0.030264,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,11.437778,20588,0.026957,0.029872,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,11.590000,20862,0.026603,0.029479,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,11.612223,20902,0.026552,0.029423,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,12.231667,22017,0.025208,0.027933,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,11.786667,21216,0.026160,0.028988,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,11.577778,20840,0.026631,0.029511,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,11.928333,21471,0.025849,0.028643,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,11.985000,21573,0.025727,0.028508,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,12.061111,21710,0.025564,0.028328,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,12.234445,22022,0.025202,0.027927,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,12.167778,21902,0.025340,0.028080,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,12.142777,21857,0.025392,0.028137,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,11.974444,21554,0.025749,0.028533,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
