block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,11.185000,20133,142,127,963,68,971,60,52.788105,93.792435,89.060486,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,11.314445,20366,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,10.714444,19286,269,0,1030,1,1031,0,100.000000,99.951500,99.957100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,10.958889,19726,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,11.343333,20418,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,11.671111,21008,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,11.289444,20321,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,11.437778,20588,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,11.590000,20862,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,11.612223,20902,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,12.231667,22017,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,11.786667,21216,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,11.577778,20840,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,11.928333,21471,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,11.985000,21573,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,12.061111,21710,268,1,1031,0,1031,0,99.628250,100.000000,99.957100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,12.234445,22022,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,12.167778,21902,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,12.142777,21857,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,11.974444,21554,269,0,1031,0,1031,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
