block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,11.185000,20133,10.913752,43.655006,21.976715,5.595429,27,0.021557,18,0.763076,1,0.000099,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,16.535986,70.500000,4.117185,0.000000,0.000000,64.000000,2.538082,N/A,N/A,N/A,N/A,
1,cube0,11.314445,20366,10.788892,43.155567,21.725286,5.531414,27,0.021310,18,0.763478,1,0.000098,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,16.346806,70.500000,4.070081,0.000000,0.000000,64.000000,2.509045,N/A,N/A,N/A,N/A,
2,cube0,10.714444,19286,11.393061,45.572243,22.941885,5.841169,27,0.022503,18,0.757181,1,0.000104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,17.262213,70.500000,4.298003,0.000000,0.000000,64.000000,2.649549,N/A,N/A,N/A,N/A,
3,cube0,10.958889,19726,11.138931,44.555725,22.430153,5.710878,27,0.022001,18,0.750989,1,0.000101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,16.877167,70.500000,4.202133,0.000000,0.000000,64.000000,2.590449,N/A,N/A,N/A,N/A,
4,cube0,11.343333,20418,10.761415,43.045658,21.669958,5.517327,27,0.021256,18,0.787296,1,0.000098,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,16.305174,70.500000,4.059716,0.000000,0.000000,64.000000,2.502655,N/A,N/A,N/A,N/A,
5,cube0,11.671111,21008,10.459186,41.836742,21.061367,5.362375,27,0.020659,18,0.792222,1,0.000095,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,15.847251,70.500000,3.945701,0.000000,0.000000,64.000000,2.432369,N/A,N/A,N/A,N/A,
6,cube0,11.289444,20321,10.812783,43.251133,21.773396,5.543664,27,0.021357,18,0.769204,1,0.000098,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,16.383005,70.500000,4.079094,0.000000,0.000000,64.000000,2.514601,N/A,N/A,N/A,N/A,
7,cube0,11.437778,20588,10.672555,42.690220,21.491024,5.471769,27,0.021080,18,0.806343,1,0.000097,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,16.170538,70.500000,4.026194,0.000000,0.000000,64.000000,2.481990,N/A,N/A,N/A,N/A,
8,cube0,11.590000,20862,10.532382,42.129528,21.208761,5.399903,27,0.020803,18,0.805627,1,0.000096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,15.958154,70.500000,3.973314,0.000000,0.000000,64.000000,2.449391,N/A,N/A,N/A,N/A,
9,cube0,11.612223,20902,10.512227,42.048908,21.168175,5.389569,27,0.020764,18,0.824467,1,0.000096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,15.927616,70.500000,3.965710,0.000000,0.000000,64.000000,2.444704,N/A,N/A,N/A,N/A,
