block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,11.185000,20133,5.456876,2.728438,21.827503,2.728438,0.000000,5.456876,N/A,N/A,
1,cube0,11.314445,20366,5.394446,2.697223,21.577784,2.697223,0.000000,5.394446,N/A,N/A,
2,cube0,10.714444,19286,5.696530,2.848265,22.786121,2.848265,0.000000,5.696530,N/A,N/A,
3,cube0,10.958889,19726,5.569466,2.784733,22.277863,2.784733,0.000000,5.569466,N/A,N/A,
4,cube0,11.343333,20418,5.380707,2.690354,21.522829,2.690354,0.000000,5.380707,N/A,N/A,
5,cube0,11.671111,21008,5.229593,2.614796,20.918371,2.614796,0.000000,5.229593,N/A,N/A,
6,cube0,11.289444,20321,5.406392,2.703196,21.625566,2.703196,0.000000,5.406392,N/A,N/A,
7,cube0,11.437778,20588,5.336277,2.668139,21.345110,2.668139,0.000000,5.336277,N/A,N/A,
8,cube0,11.590000,20862,5.266191,2.633096,21.064764,2.633096,0.000000,5.266191,N/A,N/A,
9,cube0,11.612223,20902,5.256114,2.628057,21.024454,2.628057,0.000000,5.256114,N/A,N/A,
10,cube0,12.231667,22017,4.989930,2.494965,19.959719,2.494965,0.000000,4.989930,N/A,N/A,
11,cube0,11.786667,21216,5.178322,2.589161,20.713289,2.589161,0.000000,5.178322,N/A,N/A,
12,cube0,11.577778,20840,5.271750,2.635875,21.087002,2.635875,0.000000,5.271750,N/A,N/A,
13,cube0,11.928333,21471,5.116822,2.558411,20.467287,2.558411,0.000000,5.116822,N/A,N/A,
14,cube0,11.985000,21573,5.092629,2.546314,20.370516,2.546314,0.000000,5.092629,N/A,N/A,
15,cube0,12.061111,21710,5.060492,2.530246,20.241968,2.530246,0.000000,5.060492,N/A,N/A,
16,cube0,12.234445,22022,4.988797,2.494398,19.955187,2.494398,0.000000,4.988797,N/A,N/A,
17,cube0,12.167778,21902,5.016130,2.508065,20.064520,2.508065,0.000000,5.016130,N/A,N/A,
18,cube0,12.142777,21857,5.026457,2.513229,20.105829,2.513229,0.000000,5.026457,N/A,N/A,
19,cube0,11.974444,21554,5.097118,2.548559,20.388472,2.548559,0.000000,5.097118,N/A,N/A,
