block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,11.185000,20133,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,11.314445,20366,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,10.714444,19286,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,10.958889,19726,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,11.343333,20418,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,11.671111,21008,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,11.289444,20321,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,11.437778,20588,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,11.590000,20862,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,11.612223,20902,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,12.231667,22017,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,11.786667,21216,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,11.577778,20840,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,11.928333,21471,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,11.985000,21573,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,12.061111,21710,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,12.234445,22022,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,12.167778,21902,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,12.142777,21857,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,11.974444,21554,N/A,N/A,N/A,N/A,N/A,N/A,
