block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,cube0,11.185000,20133,0.308333,0.027567,1.501111,0.134208,0.241111,0.021557,8.535000,0.763076,0.001111,0.000099,0.903333,0.080763,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,11.314445,20366,0.308333,0.027251,1.622222,0.143376,0.241111,0.021310,8.638333,0.763478,0.001111,0.000098,0.854444,0.075518,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,10.714444,19286,0.308333,0.028777,1.414444,0.132013,0.241111,0.022503,8.112778,0.757181,0.001111,0.000104,0.667222,0.062273,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,10.958889,19726,0.308333,0.028135,1.560556,0.142401,0.241111,0.022001,8.230000,0.750989,0.001111,0.000101,0.776111,0.070820,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,11.343333,20418,0.308333,0.027182,1.705000,0.150309,0.241111,0.021256,8.930555,0.787296,0.001111,0.000098,0.795556,0.070134,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,11.671111,21008,0.308333,0.026419,1.920556,0.164556,0.241111,0.020659,9.246111,0.792222,0.001111,0.000095,0.805000,0.068974,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,11.289444,20321,0.308333,0.027312,1.664444,0.147434,0.241111,0.021357,8.683888,0.769204,0.001111,0.000098,0.768889,0.068107,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,11.437778,20588,0.308333,0.026957,1.718889,0.150282,0.241111,0.021080,9.222777,0.806343,0.001111,0.000097,0.736667,0.064406,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,11.590000,20862,0.308333,0.026603,1.808333,0.156025,0.241111,0.020803,9.337222,0.805627,0.001111,0.000096,0.835556,0.072093,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,11.612223,20902,0.308333,0.026552,1.875556,0.161516,0.241111,0.020764,9.573889,0.824467,0.001111,0.000096,0.624444,0.053775,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,12.231667,22017,0.308333,0.025208,2.187778,0.178862,0.241111,0.019712,9.602222,0.785030,0.001111,0.000091,0.718333,0.058727,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,11.786667,21216,0.308333,0.026160,2.055000,0.174350,0.241111,0.020456,9.521111,0.807787,0.001111,0.000094,0.708333,0.060096,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,11.577778,20840,0.308333,0.026631,1.928333,0.166555,0.241111,0.020825,9.443334,0.815643,0.001111,0.000096,0.822778,0.071065,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,11.928333,21471,0.308333,0.025849,2.175555,0.182386,0.241111,0.020213,9.567778,0.802105,0.001111,0.000093,0.702222,0.058870,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,11.985000,21573,0.308333,0.025727,2.203889,0.183887,0.241111,0.020118,9.548889,0.796737,0.001111,0.000093,0.726667,0.060631,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,12.061111,21710,0.308333,0.025564,2.345000,0.194427,0.241111,0.019991,9.562778,0.792860,0.001111,0.000092,0.837222,0.069415,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,12.234445,22022,0.308333,0.025202,2.592222,0.211879,0.241111,0.019708,9.387777,0.767324,0.001111,0.000091,0.688889,0.056307,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,12.167778,21902,0.308333,0.025340,2.812778,0.231166,0.241111,0.019816,9.125000,0.749932,0.001111,0.000091,0.697778,0.057346,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,12.142777,21857,0.308333,0.025392,2.487778,0.204877,0.241111,0.019856,9.460556,0.779110,0.001111,0.000092,0.713333,0.058745,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,11.974444,21554,0.308333,0.025749,2.274444,0.189942,0.241111,0.020135,9.553889,0.797857,0.001111,0.000093,0.785000,0.065556,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
