block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,13.053333,23496,0.023621,0.026175,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,12.955556,23320,0.023799,0.026372,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,12.197778,21956,0.025278,0.028011,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,12.801111,23042,0.024086,0.026690,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,12.342222,22216,0.024982,0.027683,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,12.601666,22683,0.024468,0.027113,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,12.780556,23005,0.024125,0.026733,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,12.992222,23386,0.023732,0.026298,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,13.100000,23580,0.023537,0.026081,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,12.848333,23127,0.023998,0.026592,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,13.007778,23414,0.023704,0.026266,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,13.024445,23444,0.023673,0.026233,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,12.656667,22782,0.024361,0.026995,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,12.860000,23148,0.023976,0.026568,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,12.470555,22447,0.024725,0.027398,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,12.261666,22071,0.025146,0.027865,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,12.211667,21981,0.025249,0.027979,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,12.672222,22810,0.024331,0.026962,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,12.706111,22871,0.024267,0.026890,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,12.311111,22160,0.025045,0.027753,0.000000,5038080,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
