block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,13.053333,23496,9.351658,37.406631,18.831171,4.794551,27,0.018471,18,0.844527,1,0.000085,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,14.169178,70.500000,3.527889,0.000000,0.000000,64.000000,2.174804,N/A,N/A,N/A,N/A,
1,cube0,12.955556,23320,9.422236,37.688946,18.973293,4.830737,27,0.018611,18,0.847813,1,0.000086,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,14.276115,70.500000,3.554515,0.000000,0.000000,64.000000,2.191218,N/A,N/A,N/A,N/A,
2,cube0,12.197778,21956,10.007586,40.030346,20.151995,5.130843,27,0.019767,18,0.858399,1,0.000091,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,15.163010,70.500000,3.775336,0.000000,0.000000,64.000000,2.327346,N/A,N/A,N/A,N/A,
3,cube0,12.801111,23042,9.535915,38.143661,19.202204,4.889019,27,0.018835,18,0.866548,1,0.000087,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,14.448357,70.500000,3.597399,0.000000,0.000000,64.000000,2.217655,N/A,N/A,N/A,N/A,
4,cube0,12.342222,22216,9.890465,39.561859,19.916149,5.070795,27,0.019535,18,0.870589,1,0.000090,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,14.985553,70.500000,3.731152,0.000000,0.000000,64.000000,2.300108,N/A,N/A,N/A,N/A,
5,cube0,12.601666,22683,9.686839,38.747356,19.506115,4.966397,27,0.019133,18,0.858484,1,0.000088,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,14.677029,70.500000,3.654335,0.000000,0.000000,64.000000,2.252753,N/A,N/A,N/A,N/A,
6,cube0,12.780556,23005,9.551252,38.205009,19.233088,4.896883,27,0.018865,18,0.854901,1,0.000087,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,14.471595,70.500000,3.603185,0.000000,0.000000,64.000000,2.221221,N/A,N/A,N/A,N/A,
7,cube0,12.992222,23386,9.395645,37.582581,18.919746,4.817103,27,0.018558,18,0.845976,1,0.000086,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,14.235827,70.500000,3.544483,0.000000,0.000000,64.000000,2.185034,N/A,N/A,N/A,N/A,
8,cube0,13.100000,23580,9.318344,37.273376,18.764088,4.777472,27,0.018405,18,0.831764,1,0.000085,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,14.118703,70.500000,3.515321,0.000000,0.000000,64.000000,2.167057,N/A,N/A,N/A,N/A,
9,cube0,12.848333,23127,9.500868,38.003471,19.131630,4.871050,27,0.018766,18,0.848273,1,0.000086,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257.750000,65.625000,512.000000,14.395254,70.500000,3.584178,0.000000,0.000000,64.000000,2.209504,N/A,N/A,N/A,N/A,
