block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,13.053333,23496,4.675829,2.337914,18.703316,2.337914,0.000000,4.675829,N/A,N/A,
1,cube0,12.955556,23320,4.711118,2.355559,18.844473,2.355559,0.000000,4.711118,N/A,N/A,
2,cube0,12.197778,21956,5.003793,2.501897,20.015173,2.501897,0.000000,5.003793,N/A,N/A,
3,cube0,12.801111,23042,4.767958,2.383979,19.071831,2.383979,0.000000,4.767958,N/A,N/A,
4,cube0,12.342222,22216,4.945232,2.472616,19.780930,2.472616,0.000000,4.945232,N/A,N/A,
5,cube0,12.601666,22683,4.843420,2.421710,19.373678,2.421710,0.000000,4.843420,N/A,N/A,
6,cube0,12.780556,23005,4.775626,2.387813,19.102505,2.387813,0.000000,4.775626,N/A,N/A,
7,cube0,12.992222,23386,4.697823,2.348911,18.791290,2.348911,0.000000,4.697823,N/A,N/A,
8,cube0,13.100000,23580,4.659172,2.329586,18.636688,2.329586,0.000000,4.659172,N/A,N/A,
9,cube0,12.848333,23127,4.750434,2.375217,19.001736,2.375217,0.000000,4.750434,N/A,N/A,
10,cube0,13.007778,23414,4.692205,2.346102,18.768820,2.346102,0.000000,4.692205,N/A,N/A,
11,cube0,13.024445,23444,4.686200,2.343100,18.744801,2.343100,0.000000,4.686200,N/A,N/A,
12,cube0,12.656667,22782,4.822372,2.411186,19.289488,2.411186,0.000000,4.822372,N/A,N/A,
13,cube0,12.860000,23148,4.746124,2.373062,18.984497,2.373062,0.000000,4.746124,N/A,N/A,
14,cube0,12.470555,22447,4.894341,2.447171,19.577366,2.447171,0.000000,4.894341,N/A,N/A,
15,cube0,12.261666,22071,4.977721,2.488861,19.910885,2.488861,0.000000,4.977721,N/A,N/A,
16,cube0,12.211667,21981,4.998102,2.499051,19.992409,2.499051,0.000000,4.998102,N/A,N/A,
17,cube0,12.672222,22810,4.816453,2.408226,19.265810,2.408226,0.000000,4.816453,N/A,N/A,
18,cube0,12.706111,22871,4.803607,2.401803,19.214426,2.401803,0.000000,4.803607,N/A,N/A,
19,cube0,12.311111,22160,4.957729,2.478865,19.830917,2.478865,0.000000,4.957729,N/A,N/A,
