block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,13.053333,23496,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,12.955556,23320,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,12.197778,21956,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,12.801111,23042,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,12.342222,22216,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,12.601666,22683,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,12.780556,23005,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,12.992222,23386,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,13.100000,23580,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,12.848333,23127,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,13.007778,23414,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,13.024445,23444,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,12.656667,22782,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,12.860000,23148,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,12.470555,22447,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,12.261666,22071,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,12.211667,21981,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,12.672222,22810,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,12.706111,22871,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,12.311111,22160,N/A,N/A,N/A,N/A,N/A,N/A,
