block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,cube0,13.053333,23496,0.308333,0.023621,1.520555,0.116488,0.241111,0.018471,11.023889,0.844527,0.001111,0.000085,0.810556,0.062096,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,12.955556,23320,0.308333,0.023799,1.551111,0.119726,0.241111,0.018611,10.983889,0.847813,0.001111,0.000086,0.773889,0.059734,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,12.197778,21956,0.308333,0.025278,1.370000,0.112316,0.241111,0.019767,10.470555,0.858399,0.001111,0.000091,0.749444,0.061441,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,12.801111,23042,0.308333,0.024086,1.436667,0.112230,0.241111,0.018835,11.092778,0.866548,0.001111,0.000087,0.750000,0.058589,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,12.342222,22216,0.308333,0.024982,1.395000,0.113027,0.241111,0.019535,10.745000,0.870589,0.001111,0.000090,0.711667,0.057661,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,12.601666,22683,0.308333,0.024468,1.477778,0.117268,0.241111,0.019133,10.818334,0.858484,0.001111,0.000088,0.731111,0.058017,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,12.780556,23005,0.308333,0.024125,1.507222,0.117931,0.241111,0.018865,10.926111,0.854901,0.001111,0.000087,0.721667,0.056466,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,12.992222,23386,0.308333,0.023732,1.626667,0.125203,0.241111,0.018558,10.991111,0.845976,0.001111,0.000086,0.719444,0.055375,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,13.100000,23580,0.308333,0.023537,1.778889,0.135793,0.241111,0.018405,10.896111,0.831764,0.001111,0.000085,0.751111,0.057337,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,12.848333,23127,0.308333,0.023998,1.536667,0.119600,0.241111,0.018766,10.898889,0.848273,0.001111,0.000086,0.819444,0.063778,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,13.007778,23414,0.308333,0.023704,1.535556,0.118049,0.241111,0.018536,11.107223,0.853891,0.001111,0.000085,0.779444,0.059921,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,13.024445,23444,0.308333,0.023673,1.836667,0.141017,0.241111,0.018512,10.798333,0.829082,0.001111,0.000085,0.705556,0.054172,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,12.656667,22782,0.308333,0.024361,1.506667,0.119041,0.241111,0.019050,10.762222,0.850320,0.001111,0.000088,0.670556,0.052980,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,12.860000,23148,0.308333,0.023976,1.747222,0.135865,0.241111,0.018749,10.868889,0.845170,0.001111,0.000086,0.684444,0.053223,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,12.470555,22447,0.308333,0.024725,1.429444,0.114626,0.241111,0.019334,10.750556,0.862075,0.001111,0.000089,0.640556,0.051365,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,12.261666,22071,0.308333,0.025146,1.400000,0.114177,0.241111,0.019664,10.606112,0.864981,0.001111,0.000091,0.661111,0.053917,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,12.211667,21981,0.308333,0.025249,1.377222,0.112779,0.241111,0.019744,10.506667,0.860379,0.001111,0.000091,0.637778,0.052227,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,12.672222,22810,0.308333,0.024331,1.449444,0.114380,0.241111,0.019027,10.791111,0.851556,0.001111,0.000088,0.882778,0.069662,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,12.706111,22871,0.308333,0.024267,1.437222,0.113113,0.241111,0.018976,10.952778,0.862009,0.001111,0.000087,0.830556,0.065367,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,12.311111,22160,0.308333,0.025045,1.343333,0.109116,0.241111,0.019585,10.632778,0.863673,0.001111,0.000090,0.839444,0.068186,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
