block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,345.161102,621290,0.000000,282.929474,282.941559,0.011397,3,0.000008,202,0.980579,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.375000,4.125000,102400.000000,100.000000,16.500000,0.031225,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
1,cube0,345.354431,621638,0.000000,282.771088,282.783508,0.011391,3,0.000008,202,0.974992,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.500000,4.125000,102400.000000,100.000000,16.500000,0.031208,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
2,cube0,345.377777,621680,0.000000,282.751984,282.764069,0.011390,3,0.000008,202,0.976970,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.375000,4.125000,102400.000000,100.000000,16.500000,0.031206,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
3,cube0,345.307220,621553,0.000000,282.809753,282.821503,0.011392,3,0.000008,202,0.977201,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.250000,4.125000,102400.000000,100.000000,16.500000,0.031212,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
4,cube0,345.051117,621092,0.000000,283.019653,283.032104,0.011401,3,0.000008,202,0.979140,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.500000,4.125000,102400.000000,100.000000,16.500000,0.031235,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
5,cube0,345.238342,621429,0.000000,282.866180,282.877930,0.011395,3,0.000008,202,0.976868,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.250000,4.125000,102400.000000,100.000000,16.500000,0.031219,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
6,cube0,346.773895,624193,0.000000,281.613617,281.625671,0.011344,3,0.000008,202,0.974006,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.375000,4.125000,102400.000000,100.000000,16.500000,0.031080,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
7,cube0,346.671112,624008,0.000000,281.697113,281.709167,0.011348,3,0.000008,202,0.973930,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.375000,4.125000,102400.000000,100.000000,16.500000,0.031089,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
8,cube0,346.600555,623881,0.000000,281.754456,281.766144,0.011350,3,0.000008,202,0.974954,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.250000,4.125000,102400.000000,100.000000,16.500000,0.031096,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
9,cube0,345.219452,621395,0.000000,282.881653,282.893402,0.011395,3,0.000008,202,0.975912,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.250000,4.125000,102400.000000,100.000000,16.500000,0.031220,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
