block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,345.161102,621290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
1,cube0,345.354431,621638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
2,cube0,345.377777,621680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
3,cube0,345.307220,621553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
4,cube0,345.051117,621092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
5,cube0,345.238342,621429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
6,cube0,346.773895,624193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
7,cube0,346.671112,624008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
8,cube0,346.600555,623881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
9,cube0,345.219452,621395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
