block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,345.161102,621290,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,345.354431,621638,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,345.377777,621680,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,345.307220,621553,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,345.051117,621092,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,345.238342,621429,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,346.773895,624193,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,346.671112,624008,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,346.600555,623881,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,345.219452,621395,N/A,N/A,N/A,N/A,N/A,N/A,
