block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,cube0,345.161102,621290,0.000000,0.000000,39.179443,0.113511,0.002778,0.000008,338.457764,0.980579,0.001111,0.000003,0.000556,0.000002,0.006738,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,345.354431,621638,0.000000,0.000000,40.019444,0.115879,0.002778,0.000008,336.717773,0.974992,0.001111,0.000003,0.000556,0.000002,0.006829,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,345.377777,621680,0.000000,0.000000,40.095554,0.116092,0.002778,0.000008,337.423889,0.976970,0.001111,0.000003,0.000556,0.000002,0.006742,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,345.307220,621553,0.000000,0.000000,40.016109,0.115886,0.002778,0.000008,337.434448,0.977201,0.001111,0.000003,0.000556,0.000002,0.006646,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,345.051117,621092,0.000000,0.000000,39.660557,0.114941,0.002778,0.000008,337.853333,0.979140,0.001111,0.000003,0.000556,0.000002,0.006646,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,345.238342,621429,0.000000,0.000000,39.830002,0.115370,0.002778,0.000008,337.252228,0.976868,0.001111,0.000003,0.000556,0.000002,0.006924,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,346.773895,624193,0.000000,0.000000,40.170555,0.115841,0.002778,0.000008,337.760010,0.974006,0.001111,0.000003,0.000556,0.000002,0.006832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,346.671112,624008,0.000000,0.000000,39.626667,0.114306,0.002778,0.000008,337.633331,0.973930,0.001111,0.000003,0.000556,0.000002,0.006830,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,346.600555,623881,0.000000,0.000000,39.892776,0.115097,0.002778,0.000008,337.919434,0.974954,0.001111,0.000003,0.000556,0.000002,0.006830,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,345.219452,621395,0.000000,0.000000,40.066666,0.116061,0.002778,0.000008,336.903900,0.975912,0.001111,0.000003,0.000556,0.000002,0.006830,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
