block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,359.037231,646267,0.000000,271.994781,272.006409,0.010957,3,0.000008,202,0.980547,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.375000,4.125000,102400.000000,100.000000,16.500000,0.030019,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
1,cube0,357.609985,643698,0.000000,273.080322,273.092316,0.011001,3,0.000008,202,0.981602,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.500000,4.125000,102400.000000,100.000000,16.500000,0.030138,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
2,cube0,359.212769,646583,0.000000,271.861847,271.873810,0.010951,3,0.000008,202,0.976549,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.500000,4.125000,102400.000000,100.000000,16.500000,0.030004,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
3,cube0,359.037231,646267,0.000000,271.994781,272.006409,0.010957,3,0.000008,202,0.979066,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.375000,4.125000,102400.000000,100.000000,16.500000,0.030019,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
4,cube0,359.223877,646603,0.000000,271.853424,271.865387,0.010951,3,0.000008,202,0.977444,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.500000,4.125000,102400.000000,100.000000,16.500000,0.030003,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
5,cube0,359.094452,646370,0.000000,271.951447,271.963074,0.010955,3,0.000008,202,0.977719,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.375000,4.125000,102400.000000,100.000000,16.500000,0.030014,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
6,cube0,359.113892,646405,0.000000,271.936707,271.947998,0.010954,3,0.000008,202,0.979063,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.250000,4.125000,102400.000000,100.000000,16.500000,0.030012,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
7,cube0,359.218323,646593,0.000000,271.857635,271.869263,0.010951,3,0.000008,202,0.976591,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.375000,4.125000,102400.000000,100.000000,16.500000,0.030004,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
8,cube0,359.158875,646486,0.000000,271.902649,271.914276,0.010953,3,0.000008,202,0.977446,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.375000,4.125000,102400.000000,100.000000,16.500000,0.030009,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
9,cube0,359.388885,646900,0.000000,271.728638,271.739899,0.010946,3,0.000008,202,0.975448,1,0.000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102404.250000,4.125000,102400.000000,100.000000,16.500000,0.029989,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
