block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,359.037231,646267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
1,cube0,357.609985,643698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
2,cube0,359.212769,646583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
3,cube0,359.037231,646267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
4,cube0,359.223877,646603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
5,cube0,359.094452,646370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
6,cube0,359.113892,646405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
7,cube0,359.218323,646593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
8,cube0,359.158875,646486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
9,cube0,359.388885,646900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
