block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,359.037231,646267,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,357.609985,643698,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,359.212769,646583,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,359.037231,646267,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,359.223877,646603,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,359.094452,646370,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,359.113892,646405,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,359.218323,646593,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,359.158875,646486,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,359.388885,646900,N/A,N/A,N/A,N/A,N/A,N/A,
