block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,cube0,359.037231,646267,0.000000,0.000000,39.436111,0.109839,0.002778,0.000008,352.052765,0.980547,0.001111,0.000003,0.000556,0.000002,0.006646,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,357.609985,643698,0.000000,0.000000,38.936668,0.108880,0.002778,0.000008,351.030548,0.981602,0.001111,0.000003,0.000556,0.000002,0.006830,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,359.212769,646583,0.000000,0.000000,39.853333,0.110946,0.002778,0.000008,350.788879,0.976549,0.001111,0.000003,0.000556,0.000002,0.006646,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,359.037231,646267,0.000000,0.000000,39.508335,0.110040,0.002778,0.000008,351.521118,0.979066,0.001111,0.000003,0.000556,0.000002,0.006738,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,359.223877,646603,0.000000,0.000000,39.857224,0.110954,0.002778,0.000008,351.121124,0.977444,0.001111,0.000003,0.000556,0.000002,0.006921,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,359.094452,646370,0.000000,0.000000,40.351112,0.112369,0.002778,0.000008,351.093323,0.977719,0.001111,0.000003,0.000556,0.000002,0.006738,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,359.113892,646405,0.000000,0.000000,39.863888,0.111006,0.002778,0.000008,351.595001,0.979063,0.001111,0.000003,0.000556,0.000002,0.006463,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,359.218323,646593,0.000000,0.000000,39.416111,0.109727,0.002778,0.000008,350.809448,0.976591,0.001111,0.000003,0.000556,0.000002,0.006555,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,359.158875,646486,0.000000,0.000000,39.607777,0.110279,0.002778,0.000008,351.058319,0.977446,0.001111,0.000003,0.000556,0.000002,0.006738,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,359.388885,646900,0.000000,0.000000,40.124443,0.111646,0.002778,0.000008,350.565002,0.975448,0.001111,0.000003,0.000556,0.000002,0.006830,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
