Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclMallocMemInner,12.45,3,4.15,3.21,5.56,1.031
0,acl,aclrtCreateContext,1152.53,1,1152.53,1152.53,1152.53,0.0
0,acl,aclrtCreateStream,265.65,1,265.65,265.65,265.65,0.0
0,acl,aclrtDestroyContext,500.37,1,500.37,500.37,500.37,0.0
0,acl,aclrtDestroyStream,400.09,1,400.09,400.09,400.09,0.0
0,acl,aclrtFree,17.38,1,17.38,17.38,17.38,0.0
0,acl,aclrtFreeHost,6.26,1,6.26,6.26,6.26,0.0
0,acl,aclrtMalloc,14.52,3,4.84,3.64,6.58,1.587
0,acl,aclrtMallocHost,35.14,3,11.713,4.95,23.99,75.619
0,acl,aclrtMemcpy,67.1,3,22.367,15.98,26.16,20.635
0,acl,aclrtResetDevice,3379738.35,1,3379738.35,3379738.35,3379738.35,0.0
0,acl,aclrtSynchronizeStream,494.0,5,98.8,49.84,226.22,4141.512
