Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,-1,5,49,N/A,N/A,N/A,UNKNOWN,1728370532556959.999	,-0.001,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,-1,3,49,N/A,N/A,N/A,PLACE_HOLDER_SQE,1728455181655178.528	,0.0,84649098218.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,-1,0,44,N/A,N/A,N/A,AI_CORE,1728455181674123.248	,11.94,18944.72,N/A,0.0,20526,0.0,0.028,0.0,0.236,0.0,0.021,0.0,0.438,0.0,0.212,0.12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.775
0,-1,1,44,N/A,N/A,N/A,AI_CORE,1728455181674135.208	,11.74,0.02,N/A,0.0,20117,0.0,0.029,0.0,0.231,0.0,0.022,0.0,0.44,0.0,0.221,0.104,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76
0,-1,2,44,N/A,N/A,N/A,AI_CORE,1728455181674146.968	,11.52,0.02,N/A,0.0,19892,0.0,0.029,0.0,0.222,0.0,0.022,0.0,0.434,0.0,0.243,0.114,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.796
0,-1,3,44,N/A,N/A,N/A,AI_CORE,1728455181674158.508	,11.02,0.02,N/A,0.0,18980,0.0,0.03,0.0,0.248,0.0,0.023,0.0,0.453,0.0,0.198,0.112,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.784
0,-1,4,44,N/A,N/A,N/A,AI_CORE,1728455181674169.548	,11.08,0.02,N/A,0.0,18998,0.0,0.03,0.0,0.244,0.0,0.023,0.0,0.44,0.0,0.225,0.105,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.763
0,-1,5,44,N/A,N/A,N/A,AI_CORE,1728455181674180.648	,11.62,0.02,N/A,0.0,19903,0.0,0.029,0.0,0.232,0.0,0.022,0.0,0.443,0.0,0.219,0.099,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.758
0,-1,6,44,N/A,N/A,N/A,AI_CORE,1728455181674192.288	,11.26,0.02,N/A,0.0,19386,0.0,0.03,0.0,0.233,0.0,0.022,0.0,0.435,0.0,0.239,0.106,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.782
0,-1,7,44,N/A,N/A,N/A,AI_CORE,1728455181674203.568	,11.48,0.02,N/A,0.0,19743,0.0,0.029,0.0,0.268,0.0,0.022,0.0,0.42,0.0,0.226,0.105,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.777
0,-1,8,44,N/A,N/A,N/A,AI_CORE,1728455181674215.068	,11.0,0.02,N/A,0.0,18834,0.0,0.031,0.0,0.241,0.0,0.023,0.0,0.448,0.0,0.214,0.107,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.756
0,-1,9,44,N/A,N/A,N/A,AI_CORE,1728455181674226.088	,11.94,0.02,N/A,0.0,20488,0.0,0.028,0.0,0.227,0.0,0.021,0.0,0.452,0.0,0.234,0.107,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.766
0,-1,10,44,N/A,N/A,N/A,AI_CORE,1728455181674238.048	,11.32,0.02,N/A,0.0,19487,0.0,0.03,0.0,0.237,0.0,0.022,0.0,0.444,0.0,0.225,0.107,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.782
0,-1,11,44,N/A,N/A,N/A,AI_CORE,1728455181674249.388	,11.3,0.02,N/A,0.0,19407,0.0,0.03,0.0,0.249,0.0,0.022,0.0,0.446,0.0,0.218,0.109,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.771
0,-1,12,44,N/A,N/A,N/A,AI_CORE,1728455181674260.708	,11.46,0.02,N/A,0.0,19672,0.0,0.029,0.0,0.248,0.0,0.022,0.0,0.424,0.0,0.226,0.107,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.768
0,-1,13,44,N/A,N/A,N/A,AI_CORE,1728455181674272.188	,10.66,0.02,N/A,0.0,18209,0.0,0.032,0.0,0.249,0.0,0.024,0.0,0.45,0.0,0.211,0.111,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.745
