Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,-1,5,35,N/A,N/A,N/A,UNKNOWN,1728370532563219.199	,-0.001,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,-1,3,35,N/A,N/A,N/A,PLACE_HOLDER_SQE,1728455754124935.031	,0.02,85221561715.833,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,-1,0,27,N/A,N/A,N/A,AI_CORE,1728455754145215.871	,12.38,20280.82,N/A,0.0,21443,0.0,0.027,0.0,0.226,0.0,0.02,0.0,0.454,0.0,0.215,0.116,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.811
0,-1,1,27,N/A,N/A,N/A,AI_CORE,1728455754145228.271	,11.54,0.02,N/A,0.0,19927,0.0,0.029,0.0,0.22,0.0,0.022,0.0,0.452,0.0,0.238,0.105,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.797
0,-1,2,27,N/A,N/A,N/A,AI_CORE,1728455754145239.831	,11.06,0.02,N/A,0.0,18971,0.0,0.03,0.0,0.226,0.0,0.023,0.0,0.458,0.0,0.226,0.105,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.765
0,-1,3,27,N/A,N/A,N/A,AI_CORE,1728455754145250.911	,11.7,0.02,N/A,0.0,20075,0.0,0.029,0.0,0.226,0.0,0.022,0.0,0.453,0.0,0.208,0.105,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.766
0,-1,4,27,N/A,N/A,N/A,AI_CORE,1728455754145262.631	,11.84,0.02,N/A,0.0,20439,0.0,0.028,0.0,0.212,0.0,0.021,0.0,0.472,0.0,0.206,0.103,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.795
0,-1,5,27,N/A,N/A,N/A,AI_CORE,1728455754145274.511	,11.26,0.04,N/A,0.0,19357,0.0,0.03,0.0,0.227,0.0,0.022,0.0,0.469,0.0,0.216,0.107,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.775
0,-1,6,27,N/A,N/A,N/A,AI_CORE,1728455754145285.791	,11.28,0.02,N/A,0.0,19329,0.0,0.03,0.0,0.237,0.0,0.022,0.0,0.473,0.0,0.206,0.105,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76
0,-1,7,27,N/A,N/A,N/A,AI_CORE,1728455754145297.111	,11.42,0.04,N/A,0.0,19544,0.0,0.029,0.0,0.228,0.0,0.022,0.0,0.468,0.0,0.196,0.103,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.754
