Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,14,3,0.02,1728456062701983.290	,1728456062701983.310	
0,N/A,KERNEL_AICORE,25,0,11.88,1728456062720812.330	,1728456062720824.210	
0,N/A,KERNEL_AICORE,25,1,11.5,1728456062720824.230	,1728456062720835.730	
0,N/A,KERNEL_AICORE,25,2,11.3,1728456062720835.750	,1728456062720847.050	
0,N/A,KERNEL_AICORE,25,3,10.78,1728456062720847.090	,1728456062720857.870	
0,N/A,KERNEL_AICORE,25,4,11.04,1728456062720857.890	,1728456062720868.930	
0,N/A,KERNEL_AICORE,25,5,11.44,1728456062720868.950	,1728456062720880.390	
0,N/A,KERNEL_AICORE,25,6,12.74,1728456062720880.410	,1728456062720893.150	
0,N/A,KERNEL_AICORE,25,7,12.14,1728456062720893.170	,1728456062720905.310	
0,N/A,KERNEL_AICORE,25,8,10.9,1728456062720905.330	,1728456062720916.230	
0,N/A,KERNEL_AICORE,25,9,11.08,1728456062720916.250	,1728456062720927.330	
0,N/A,EVENT_RECORD,25,10,0.0,1728456062720927.350	,1728456062720927.350	
0,N/A,KERNEL_AICORE,25,11,11.44,1728456062721023.090	,1728456062721034.530	
0,N/A,KERNEL_AICORE,25,12,11.52,1728456062721034.550	,1728456062721046.070	
0,N/A,KERNEL_AICORE,25,13,10.66,1728456062721046.090	,1728456062721056.750	
0,N/A,KERNEL_AICORE,25,14,11.28,1728456062721056.790	,1728456062721068.070	
0,N/A,KERNEL_AICORE,25,15,11.58,1728456062721068.090	,1728456062721079.670	
0,N/A,KERNEL_AICORE,25,16,11.76,1728456062721079.710	,1728456062721091.470	
0,N/A,KERNEL_AICORE,25,17,11.08,1728456062721091.510	,1728456062721102.590	
0,N/A,KERNEL_AICORE,25,18,10.46,1728456062721102.610	,1728456062721113.070	
0,N/A,KERNEL_AICORE,25,19,10.82,1728456062721113.110	,1728456062721123.930	
0,N/A,KERNEL_AICORE,25,20,10.82,1728456062721123.950	,1728456062721134.770	
0,N/A,KERNEL_AICORE,25,21,6.58,1728456062721134.810	,1728456062721141.390	
0,N/A,KERNEL_AICORE,25,22,6.8,1728456062721141.430	,1728456062721148.230	
0,N/A,KERNEL_AICORE,25,23,6.64,1728456062721148.250	,1728456062721154.890	
0,N/A,KERNEL_AICORE,25,24,6.6,1728456062721154.910	,1728456062721161.510	
0,N/A,KERNEL_AICORE,25,25,6.24,1728456062721161.530	,1728456062721167.770	
0,N/A,KERNEL_AICORE,25,26,6.36,1728456062721167.810	,1728456062721174.170	
0,N/A,KERNEL_AICORE,25,27,6.52,1728456062721174.190	,1728456062721180.710	
0,N/A,KERNEL_AICORE,25,28,7.0,1728456062721180.730	,1728456062721187.730	
0,N/A,KERNEL_AICORE,25,29,6.32,1728456062721187.750	,1728456062721194.070	
